str_yes|是 。 
str_village_alt_prosperity_20|少 数 农 民 和 牲 口 在 田 里 劳 作 ， 但 许 多 人 已 迁 出 寻 找 更 好 的 生 活 。 农 场 破 败 ， 部 分 田 地 已 被 杂 草 侵 占 。 
str_village_alt_prosperity_40|村 民 和 牲 口 都 相 当 健 康 ， 在 田 地 和 牧 场 间 忙 碌 。 然 而 有 些 房 屋 失 修 ， 几 块 地 未 播 种 。 
str_village_alt_prosperity_60|田 地 和 果 园 一 片 繁 忙 ， 装 满 谷 物 的 口 袋 和 风 干 的 肉 证 明 了 村 里 农 田 与 牧 场 的 丰 产 。 
str_village_alt_prosperity_80|田 地 和 果 园 里 满 是 健 壮 饱 足 的 村 民 ， 他 们 正 扩 建 田 地 以 喂 养 众 多 牲 畜 。 与 此 同 时 ， 劳 工 蜂 拥 而 至 ， 加 入 这 片 繁 荣 。 
str_oasis_village_alt_prosperity_0|果 树 林 几 乎 被 遗 弃 ， 仅 剩 的 少 数 营 养 不 良 的 村 民 神 情 忧 虑 。 耕 畜 早 已 饿 死 或 被 吃 光 。 
str_oasis_village_alt_prosperity_20|几 乎 看 不 到 村 民 照 料 果 树 林 ， 有 些 地 方 森 林 已 将 其 吞 没 。 灌 木 和 杂 草 侵 占 所 有 果 园 。 牛 群 变 野 ， 几 具 残 骸 躺 在 村 外 ， 骨 头 被 狼 啃 咬 。 
str_oasis_village_alt_prosperity_40|男 女 在 果 园 劳 作 ， 清 除 侵 入 牧 场 的 石 楠 。 畜 群 看 起 来 健 康 ， 但 许 多 农 场 需 要 修 缮 。 
str_oasis_village_alt_prosperity_60|果 林 与 果 园 间 ， 忙 碌 的 农 夫 穿 梭 ， 他 们 一 边 修 枝 、 剪 羊 毛 、 挤 奶 ， 一 边 愉 快 互 致 问 候 。 木 匠 搭 建 新 畜 栏 的 敲 击 声 回 荡 ， 昭 示 此 地 的 繁 荣 。 
str_oasis_village_alt_prosperity_80|果 林 里 人 声 鼎 沸 ， 农 夫 们 把 一 篮 篮 苹 果 、 一 袋 袋 小 麦 装 车 ， 准 备 上 市 。 男 女 奋 力 清 理 森 林 、 开 垦 新 田 ， 以 造 更 多 农 田 。 
str_acres_grain|成 片 的 耕 地 
str_acres_orchard|成 片 的 果 树 林 
str_acres_oasis|成 片 的 果 园 
str_looms|织 布 机 
str_boats|小 船 
str_head_cattle|牛 头 
str_head_sheep|羊 头 
str_mills|磨 房 
str_kilns|烧 窑 
str_pans|平 底 锅 
str_deposits|押 金 
str_hives|蜂 房 
str_breweries|酿 酒 厂 
str_presses|印 刷 机 
str_smithies|铁 匠 铺 
str_caravans|陆 地 商 队 
str_traps|陷 阱 
str_gardens|小 花 园 
str_tanneries|制 革 桶 
str_master_miller|高 级 磨 坊 工 
str_master_brewer|高 级 酿 酒 工 
str_master_presser|高 级 榨 油 工 
str_master_smith|高 级 铁 匠 
str_master_tanner|高 级 皮 革 匠 
str_master_weaver|高 级 织 工 
str_master_dyer|高 级 染 匠 
str_war_report_minus_4|我 们 几 乎 要 输 掉 这 场 战 争 了 
str_war_report_minus_3|现 在 的 形 势 看 起 来 有 些 严 峻 
str_war_report_minus_2|战 事 进 展 得 不 太 顺 利 
str_war_report_minus_1|如 果 我 们 能 振 作 起 来 ， 我 们 还 是 可 以 赢 得 这 场 战 争 的 
str_war_report_0|我 们 与 敌 人 势 均 力 敌 
str_war_report_plus_1|我 们 有 一 定 机 会 赢 得 这 场 战 争 
str_war_report_plus_2|战 事 进 展 得 非 常 顺 利 
str_war_report_plus_3|打 败 他 们 完 全 不 成 问 题 
str_war_report_plus_4|我 们 几 乎 要 赢 得 这 场 战 争 了 
str_persuasion_summary_very_bad|你 竭 力 说 服 {s50}， 可 所 有 论 点 都 走 了 样 。 每 当 你 刚 说 到 点 子 上 ， 就 冒 出 一 句 完 全 离 谱 的 话 ， 把 思 路 彻 底 带 偏 。 话 说 到 最 后 ， 你 竟 没 为 自 己 凑 出 一 条 像 样 的 理 由 ， 只 觉 越 描 越 黑 。 果 不 其 然 ， {s50}毫 无 所 动 。 
str_persuasion_summary_bad|你 试 图 说 服 {s50}， 可 {reg51?她 :他 }一 开 始 就 占 了 上 风 。 连 你 自 己 都 觉 得 ， 再 好 的 说 辞 也 空 洞 无 力 。 {s50}显 然 也 没 把 你 这 番 话 当 回 事 。 
str_persuasion_summary_average|{s50}言 辞 犀 利 、 头 脑 敏 锐 ， 你 拿 不 出 半 点 {reg51?她 :他 }驳 不 倒 的 实 据 。 最 终 ， 两 人 谁 也 没 能 占 上 风 。 
str_persuasion_summary_good|你 思 维 敏 捷 、 论 证 流 畅 ， 把 道 理 说 得 头 头 是 道 ， 逼 得 {s50}在 几 处 让 步 。 然 而 {reg51?她 :他 }仍 对 你 的 请 求 心 存 疑 虑 。 
str_persuasion_summary_very_good|你 慷 慨 陈 词 ， 句 句 如 诗 ， 回 荡 在 众 人 耳 畔 。 天 地 仿 佛 为 之 一 静 ， 只 为 听 你 诉 说 。 这 番 激 昂 之 语 深 深 打 动 了 {s50}， {reg51?她 :他 }已 明 显 愿 意 伸 出 援 手 。 
str_secret_sign_1|大 衣 柜 在 午 夜 起 舞 … … 
str_secret_sign_2|我 正 售 卖 这 些 来 自 君 士 坦 丁 堡 的 精 美 挂 毯 ， 可 要 来 一 幅 ？ 
str_secret_sign_3|朋 友 的 朋 友 托 我 … … 
str_secret_sign_4|东 风 劲 吹 ， 河 水 染 赤 … … 
str_countersign_1|可 他 究 竟 为 梳 妆 台 而 舞 ， 还 是 为 烛 台 而 舞 ？ 
str_countersign_2|要 的 ， 可 有 蓝 色 ？ 
str_countersign_3|然 而 ， 我 的 朋 友 ， 你 朋 友 的 朋 友 ， 再 找 不 到 像 我 这 样 的 朋 友 。 
str_countersign_4|你 病 了 吗 ？ 
str_name_1|艾 尔 
str_name_2|奥 德 温 
str_name_3|伯 敦 
str_name_4|卡 德 蒙 
str_name_5|蔡 尔 
str_name_6|科 恩 雷 德 
str_name_7|艾 巴 德 
str_name_8|阿 斯 菲 尔 
str_name_9|艾 法 
str_name_10|爱 普 沃 德 
str_name_11|肯 吉 斯 
str_name_12|荷 沙 
str_name_13|奥 斯 雷 德 
str_name_14|泰 德 沃 夫 
str_name_15|威 克 雷 德 
str_name_16|乌 法 
str_name_17|辛 尼 
str_name_18|昆 道 格 
str_name_19|艾 尼 夫 
str_name_20|戴 弗 格 
str_name_21|切 尼 
str_name_22|卡 德 凡 
str_name_23|卡 德 贡 
str_name_24|瑞 沃 隆 
str_name_25|海 威 尔 
str_surname_1|伦 敦 威 克 的 {s50}
str_surname_2|朵 斯 要 塞 的 {s50}
str_surname_3|贝 班 堡 的 {s50}
str_surname_4|温 道 鲁 要 塞 的 {s50}
str_surname_5|厄 梅 马 查 的 {s50}
str_surname_6|锡 伦 要 塞 的 {s50}
str_surname_7|德 拉 图 堡 的 {s50}
str_surname_8|里 斯 费 尔 的 {s50}
str_surname_9|洛 尔 堡 的 {s50}
str_surname_10|科 恩 要 塞 的 {s50}
str_surname_11|厄 斯 垒 的 {s50}
str_surname_12|诺 威 治 的 {s50}
str_surname_13|莱 得 切 堡 的 {s50}
str_surname_14|昂 莱 丘 的 {s50}
str_surname_15|迪 纳 斯 的 {s50}
str_surname_16|布 希 德 丘 的 {s50}
str_surname_17|斯 旺 纳 维 的 {s50}
str_surname_18|沃 德 顿 的 {s50}
str_surname_19|巴 敦 的 {s50}
str_surname_20|林 安 艾 克 的 {s50}
str_surname_21|高 个 的 {s50}
str_surname_22|瘦 弱 的 {s50}
str_surname_23|{s50} 滑 胡 子 {s50}
str_surname_24|{s50} 精 瘦 的 {s50}
str_surname_25|{s50} 贫 穷 的 {s50}
str_surname_26|{s50} 丑 陋 的 {s50}
str_surname_27|{s50} 诚 实 的 {s50}
str_surname_28|{s50} 可 怕 的 {s50}
str_surname_29|{s50} 激 进 的 {s50}
str_surname_30|{s50} 阴 险 的 {s50}
str_surname_31|{s50} 矮 个 的 {s50}
str_surname_32|{s50} 单 纯 的 {s50}
str_surname_33|{s50} 无 畏 的 {s50}
str_surname_34|{s50} 勇 敢 的 {s50}
str_surname_35|{s50} 小 心 的 {s50}
str_surname_36|{s50} 胆 小 的 {s50}
str_surname_37|{s50} 发 亮 的 {s50}
str_surname_38|{s50} 性 急 的 {s50}
str_surname_39|{s50} 机 智 的 {s50}
str_surname_40|{s50} 冒 失 的 {s50}
str_surname_41|{s50} 冲 动 的 {s50}
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|杀 敌 数 ： {reg1}
str_number_of_troops_wounded_reg1|伤 敌 数 ： {reg1}
str_number_of_own_troops_killed_reg1|我 方 阵 亡 ： {reg1}
str_number_of_own_troops_wounded_reg1|我 方 受 伤 ： {reg1}
str_retreat|撤 退 ！ 
str_siege_continues|继 续 战 斗 … … 
str_casualty_display|我 方 伤 亡 ： {s10}^敌 方 伤 亡 ： {s11}^{s12}
str_casualty_display_hp|你 受 到 {reg1}点 伤 害 。 
str_quest_log_updated|任 务 日 志 更 新 … … 
str_banner_selection_text|你 被 授 予 携 带 旗 帜 的 权 利 。 旗 帜 是 身 份 与 荣 耀 的 象 征 。 你 想 选 择 哪 种 旗 帜 ？ 
str_retirement_text_1|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 ， 而 你 在 窘 困 中 进 行 了 几 次 令 人 绝 望 的 努 力 企 图 重 新 开 始 自 己 的 冒 险 。 最 后 你 在 {s9}城 里 当 了 个 乞 丐 ， 靠 接 济 和 教 堂 的 施 舍 过 活 。 
str_retirement_text_2|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 。 当 你 的 钱 很 快 地 在 你 的 手 中 消 失 你 被 迫 开 始 了 在 {s9}城 的 后 街 小 巷 里 的 犯 罪 生 涯 ， 用 你 的 那 点 能 耐 靠 打 劫 妇 女 以 及 贫 穷 的 市 民 勉 强 维 持 生 活 。 
