qstr_Breaking_camp...|终止宿营。
qstr_It_seems_someone_wen|有盗贼溜进你的仓库并偷走了一些{s33} 。
qstr_{s22}|{s22}
qstr_{s1}_of_{s2}_has_bee|{s2} 中的{s1}已被释放。
qstr_{s33}_was_beaten_up_|{s33}被{s34}的居民殴打并被丢进了监狱。
qstr_{s33}_s_attempts_to_|{s33}提高在{s34}的影响力的行动失败了。
qstr_The_people_of_{s34}_|{s34}的人们非常恨你，{s33}被守卫拒之门外。
qstr_A_livestock_epidemic|瘟疫杀死了在{s4}的{reg4}头牲口。
qstr_A_livestock_epidemic_|瘟疫杀死了在{s4}的{reg5}只羊。
qstr_A_livestock_epidemic_h|瘟疫杀死了在{s4}的{reg4}头牛和{reg5}只羊。
qstr_You_receive_a_messag|你收到来自{s1} 的口信要求你用合适的方式支持他们。
qstr_You_receive_a_message|你收到来自{s1}的口信提醒你作为封臣的义务。
qstr_Your_men_made_some_d|你的士兵用牛奶做了一些美味的奶油。
qstr_A_livestock_epidemic_ha|瘟疫杀死了在{s4}附近农庄的{reg5}头牛。
qstr_A_livestock_epidemic_has|瘟疫杀死了{reg4}头牛。包括你在{s4} 附近农庄的{reg5} 头牛。
qstr_Your_party_is_spotte|你的部队被{s1}发现了。
qstr_Your_men_have_nothin|你的部队没有东西吃了！
qstr_{reg1}_{s1}_{reg2?ha|{reg1}个{s1}{reg2?已:已}趁着夜色逃离了你的队伍。
qstr_{s1}_of_the_{s3}_has|{s3}的{s1}已经被释放了。
qstr_{s1}_is_no_longer_in|{s1}不再在夜里被匪盗困扰。
qstr_{s1}_has_won_the_tou|{s1}赢得了在{s2}的比赛。
qstr_You_pay_for_accommod|你支付了宿金。
qstr__Your_tactics_skill_|你的战术技能提高1级。
qstr__Your_persuasion_ski|你的说服力技能提高1级。
qstr__Your_leadership_ski|你的统御技能提高1级。
qstr__Your_intelligence_h|你的智力提高1点。
qstr__Your_trade_skill_ha|你的交易技能提高1级。
qstr__Your_weapon_master_|你的武器掌握技能提高1级。
qstr__Your_engineer_skill|你的工程学技能提高1级。
qstr_You_have_finished_re|你已经读完了{s1} 。{s2}
qstr_Book_Read|读书
qstr_Christian_monastery|基督教修道院
qstr_Christian_church|基督教教堂
qstr_shrine_to_Norse_gods|诺尔斯神龛
qstr_temple_to_Odin|奥丁神庙
qstr_People_of_{s24}_are_|{s24}的人们对你的宗教偏向不能接受，并毁掉了{s25} 。
qstr_You_have_{reg0}_days|你还有{reg0}天来完成这个任务。
qstr_{s1}_is_scouted.|{s1}已经侦察过了。
qstr_{s1}_has_switched_fr|{s1}从{s2}的手上转移到{s3} 。
qstr_The_merchants__rest_|在{s1}的交易大厅增加了当地的繁荣度。
qstr_Christian_monastery_|在{s33}的基督教堂提高了{s34}的信仰度。
qstr_Pagan_hof_at_{s33}_r|在{s33}的多神教神庙降低了{s34}的基督信仰度。
qstr_The_scriptorium_in_{|在{s1}的缮写室增加了你的声望。
qstr_Due_to_the_good_word|由于基督教牧师对你的积极宣传，你与{s1}的关系改善了。
qstr_Due_to_the_bad_word_|由于基督教牧师对你的负面宣传，你与{s1}的关系恶化了。
qstr_{s1}_has_become_host|{s1} 变得对你充满敌意，因为你亵渎基督教。
qstr_Faction_became_hosti|成为敌对派系
qstr_Due_to_the_good_word_|由于多神教教徒对你的积极宣传，你与{s1}的关系改善了。
qstr_Due_to_the_bad_word_i|由于多神教教徒对你的负面宣传，你与{s1}的关系恶化了。
qstr_{s1}_has_become_hosti|{s1} 变得对你充满敌意，因为你亵渎多神教。
qstr_{s13}_has_too_many_t|{s13}有太多的军队驻守并且领主可能会征兵。
qstr_most|最多
qstr_half|一半
qstr_some|一些
qstr_few|几个
qstr_There_are_too_many_m|你的庇护所容纳了太多的人，一些士兵变得不开心而离开了。
qstr_Refuge_Garrison|庇护所驻军
qstr_You_receive_word_tha|你收到一条信息——{s1}的教官已经完成了他的任务。
qstr_TEST:_I_moved_Lords_|TEST ：我移动领主去圣海伦娜。
qstr_TEST:_I_bring_Lords_|TEST ：我带领主回来。
qstr_Physicians_in_larger|各大城镇的医师在获得报酬后，他们会在几天之内为你进行治疗。所有负面影响将被移除。
qstr_You_are_wounded|你负伤了
qstr_{s1}You_have_only_on|{s1}你只剩下一天时间治疗自己的{reg7} 伤势了。尽快到各大城镇拜访医师。^^
qstr_{s1}{reg7}_of_your_i|{s1}由于缺乏治疗，你的{reg7} 伤情之一已经变成永久的缺陷。
qstr_{s1}{reg7}_of_your_w|{s1}你的{reg7} 伤口被治好了，你的能力不再因此受到限制。
qstr_{s1}|{s1}
qstr_Wound_Report|伤势报告
qstr_A_ship_has_been_buil|你在{s0}的一艘船舶完工了。
qstr_Ship_finished|船舶完工
qstr_{s0}_has_recovered_f|{s0}从劫掠后得到了恢复。
qstr_By_now_you_have_more|目前你拥有不止一条船了。在海战中，你可以向你的船队下令“驻守”或“冲锋”，方法如同你在陆战中向部队下令。部队的第一分组将是你的旗舰，其他则是随舰。你可以在一个港口或在海上驻停时更换旗舰。如果你在海岸线附近或者寻找一处登陆点，右键点击你的部队，可以将船队分开。
qstr_Ship_management|船只管理
qstr_Your_troops_are_angr|你的士兵非常愤怒，因为他们讨厌在海上过夜。
qstr_Your_troops_feel_une|你的士兵忧虑渡海。
qstr_Severe_weather_has_d|恶劣的天气袭击了{s1} ({s7}) 。
qstr_Severe_weather_has_de|恶劣的天气毁灭了{s1} ({s7}) 。
qstr_The_weather_changed_|天气变化：“无风”
qstr_The_weather_changed_t|天气变化：“轻风”
qstr_The_weather_changed_to|天气变化：“和风”
qstr_The_weather_changed_to:|天气变化：“强风”
qstr_The_weather_changed_to:_|天气变化：“疾风”
qstr_The_weather_changed_to:__|天气变化：“大风”
qstr_The_weather_changed_to:__S|天气变化：“狂风”
qstr_The_operation_of_the|在{s33} 建造的奴隶市场降低了你的荣誉。
qstr_DEBUG_rebellion:_che|DEBUG rebellion: checking faction {s1} on day {reg1}{***}
qstr_DEBUG_rebellion:_fac|DEBUG rebellion: faction {s1} reborn on day {reg1}{***}
qstr__Possible_Rebellion_|(可能的叛乱) 传言说{s14}仍然活着。
qstr__Possible_Rebellion__|(可能的叛乱) 传言说{s14}与他秘密的会面。
qstr__Possible_Rebellion__R|(可能的叛乱) 传言说人们赞成恢复{s14}。
qstr__Possible_Rebellion__Ru|(可能的叛乱) 传言说{s14}组建一只军队以恢复王位。
qstr__Possible_Rebellion__Rum|(可能的叛乱) 传言说{s14}在囤积武器。
qstr__Possible_Rebellion__Rumo|(可能的叛乱) 传言说{s14}在囤积武器并且在法兰克寻求支持。
qstr__Possible_Rebellion__Rumor|(可能的叛乱) 传言说{s14}组建一只军队以恢复王位。
qstr__Possible_Rebellion__Rumors|(可能的叛乱) 传言说{s14}在囤积武器。
qstr__|nan
qstr_Congratulations!_You|恭喜你！你设法关押7个或更多的领主在{s13} 。你是一个真正的地牢主人。
qstr_Dungeon_master_Achie|地牢主人的成就
qstr_Congratulations!_You_|恭喜你！你设法拥有五个或更多的女情人。女士们必须向你低头，所以你当然可以为你有这样的一个需求感到骄傲。继续保持！
qstr_Skirt_Chaser_Achieve|好色之徒的成就
qstr_Congratulations!_You_v|恭喜你！你设法在家中囤积了至少25桶酒。一个伟大的壮举鉴于你在世界各地喝了许多麦芽酒和蜂蜜酒。你是一个酗酒的酒鬼，或者你是一个真正的葡萄酒鉴赏家。
qstr_Wine_Connoisseur_Ach|葡萄酒鉴赏家的成就
qstr_{s33}_revokes_your_r|{s33} 撤销了你在{s34}的募兵权，因为你俩之间关系不好。
qstr_The_village_leader_o|{s34} 的长老撤销了你的募兵权，因为你和这个村庄的关系不好。
qstr_fixing_banners;_plea|修改旗帜
qstr_unable_to_restore_ba|无法复原旗帜{reg0}被分配给队伍{reg1}
qstr_Prisoners_revolted!_|囚犯起义了！在{s33}附近。
qstr_Your_gift_sent_to_{s|你的礼物送到{s13}来改善你与他的关系。
qstr_Gift_Sent_to_Lord|送给主的礼物
qstr_Tutorial|教程
qstr_Recruiting_warriors|招募战士
qstr_Your_troops_feel_ref|经过一晚上休息后，你的部队精神焕发：
qstr_Your_men_need_rest_o|你的战士需要好好休息，否则他们的士气将会下降。
qstr_Foragers|征粮队
qstr_Scouts|侦察兵
qstr_Morale|士气
qstr_Each_day_of_the_sieg|每天的围攻，你需要支付一些费用。你支付报酬，挖掘厕所，清洁马厩，购买、携带水和食物，烹饪。
qstr_You_do_not_have_mone|你没有钱来支付围攻所需的基本费用，士气大降。
qstr_{reg65?my_Lady:my_Lo|{reg65?尊敬的女士:阁下}
qstr_{reg65?My_Lady:My_Lo|{reg65?尊敬的女士:阁下}
qstr_{reg65?madame:sir}|{reg65?夫人:先生}
qstr_{reg65?Madame:Sir}|{reg65?夫人:先生}
qstr_Dog|狗
qstr_Welcome_landlubber._|欢迎你的到来，我是这里的船匠。
qstr_Welcome_{reg59?lady:|欢迎你的到来，{playername}阁下。
qstr_Welcome_{reg59?madam|欢迎你的到来{reg59?女士:先生} 。
qstr_Welcome.|欢迎你的到来。
qstr_Your_ship_is_in_a_ba|你的船看起来有点糟糕。你应该考虑下在我这里修理修理。
qstr_The_{s7}_is_the_most|{s7} 是我这辈子见过的最好的船。能让这艘船停泊在我的港口真是我的荣幸。
qstr_Your_ship_is_of_poor|你的船破烂不堪。你或许会想在我这里买艘更好的船。
qstr_That_s_a_decent_ship|你这船看上去挺像样的。
qstr_Your_ship_the_{s7}_i|你的船，{s7}真是非同一般。我的工人们可以为你上漆涂色，如果你愿意的话。
qstr_The_{s7}_is_a_wonder|{s7}是艘好船，我很高兴这船能在我们港口里停泊。
qstr_{s2}_{s3}|{s2} {s3}
qstr_You_are_already_in_{|你已经在{s1}了。
qstr__and_your_troops|还有你的部队
qstr_There_is_a_ship_that|有一艘船可以把你从{s3}带到{s1}的港口，花费{reg1} 先令。
qstr_I_changed_my_mind.|我改变主意了。
qstr_For_a_ship_of_this_s|我可没有足够的木料，柏油和羊毛来弄这种大小的船，所以我需要你把这些东西都带过来。
qstr___He_indicates_the_f|——他的手指向海湾的另一边。——
qstr_Now_you_must_join_th|现在你必须加入牛颈斯温和哈罗德·哈罗德逊带领的舰队，他们很快就要离开里伯了。你的使命将带领你到另一片土地上。
qstr___His_eyes_shine.__|——他两眼放光。——
qstr_The_port_master_of_R|里伯的港口主管告诉你斯温的藏身之处：{s3}的东南方。去那里救出沃登里克号的俘虏。
qstr___He_approaches_you_|——他靠近你，你都能闻到他口里廉价啤酒的气味。——
qstr___He_looks_with_a_pe|——他看起来有点反常。——
qstr_The_port_master_of_Ri|里伯的港口主管想要一本叫做《科伦希尔之经》的书，那书在格伦达洛谷，{s3}附近的修道院，那是在爱尔兰的海伯利亚。
qstr_The_port_master_from|里伯的港口主管告诉你斯温的藏身之处：{s3}的东北方。去那里救出沃登里克号的俘虏。
qstr___He_gives_you_a_str|——他奇怪地瞥了你一眼。——
qstr_The_port_master_of_{|{s4}的港口主管想要你把一批皮毛带到爱尔兰的{s3} ，给当地的一个叫霍格尼的商人。
qstr_The_port_master_from_|{s4}的港口主管告诉你阿提利的秘密洞穴的位置：{s3}附近。去那里找到博多的信。
qstr_The_port_master_from_R|{s4}的港口主管告诉你阿提利的秘密洞穴的位置：{s3}附近。去那里找到博多的信。
qstr_Embark_on_your_boat_|登上你的船并加入舰队去当纳莱斯。
qstr_Perhaps_there_is_a_l|或许世界末日很快就到了。（冷静）
qstr_You_re_right!_The_co|你说得对！维京人来了，一切都要结束了！（谨慎）
qstr_The_Bible_also_says_|圣经上也说一个国王会统一全世界，而我就是那个国王。（易怒）
qstr_A_change_in_the_worl|世界的变动将为勇敢者提供更多机会，就是这样。（嗜血）
qstr_I_appreciate_your_re|你说的这话让我放心，但我相信世界的毁灭已成定局，我们之后什么都说不了做不了。我们能做的也只有等待和战斗，直到神的军队的到来。
qstr_Exactly!_West_Seaxe_|就是这个意思。西撒克逊是信徒们的最后堡垒，但它将被迫屈服于那帮人，我们都会死！让我一个人待着，我不想再说了。
qstr_Your_self_confidence|你的自信安慰了我，但我必须告诉你国王会被邪恶大军打败，只有神的军队的到来才能拯救世界。然而，如果你成为国王，我会很乐意与你并肩作战战死沙场。
qstr_I_m_surprised_that_y|你很惊讶你能从其他人的不幸中看到能够获利的地方，你比我想象的还要残忍。
qstr_You_need_to_rid_your|你需要摆脱自大的缺点。（冷静）
qstr_I_am_always_willing_|我一直都乐意学习，谢谢你，埃吉尔。（谨慎）
qstr_I_think_it_s_clear_t|与你相比，命运女神更加喜欢我。（易怒）
qstr_Silence!_You_shall_n|闭嘴！你不能如此羞辱我的威严！（嗜血）
qstr_Yes_I_pretended_to_b|是的，我也想保持中立。好吧，有些事自然而然就发生在我身上了，但傲慢是好领袖所拥有的品质。你也需要学会变地傲慢点——这也是我的建议——能让你的人看到你的自信。你必须一言九鼎，不听从命令的人就要受到惩罚。这就是领袖的价值，我也很高兴你能听进去。就说这么多了。
qstr_I_understand._Someon|我懂，像你这样的人没有我的经验和知识。能从我这里学东西对你来说很重要，{playername}。要像我一样成为受尊敬的对象。我也建议你在战场冲锋陷阵，给你的人做个表率，也能和你的人在没有冲突的情况下分享战利品。这就是我的提醒了。现在我们做些该做的吧。
qstr_Your_men_see_the_way|你的人看到埃吉尔如何对待你，让你失去了一些威严。
qstr_And_people_say_that_|人们说我是傲慢的人，那我还有什么话可说？好吧，我喜欢这样。我认为领袖最有价值的东西是：能够展现自信的能力，以及吸引人的魅力。你说得对，我也没什么教你的了。
qstr_I_only_pretended_to_|我也只想给你一些建议，虽然说你看起来也不大乐意听。好的，你下个命令，来展示你的威严，但这并不意味着你是个优秀的领袖。我会遵守，闭嘴并回到自己的工作。
qstr_I_am_just_a_poor_far|我只是这里的一个贫农，去找那边的农场主管吧。
qstr_I_just_work_the_fiel|我只是在这里工作的，去找那边的农场主管吧。
qstr_Stranger_go_talk_to_|陌生人，如果你有生意要谈，去找那边的农场主管吧。
qstr__Relation:_{reg0}|关系：{reg0}
qstr_{s12}I_want_to_plund|{s12}我想掠夺和保留{s1}给我{s2}
qstr__no_fiefs_|（没有封地）
qstr__fiefs:_{s0}_|（封地：{s0} ）
qstr___The_child_looks_at|——孩子饶有兴趣地看着你，笑起来了——
qstr_My_mother_told_me_no|我妈妈告诉我不要和陌生人说话，再见。
qstr_Running_is_fun!_I_ca|跑步很有趣！我跑得比你快！你想看看吗？
qstr_We_are_landless_poor|我们没有土地，贫穷又饱受迫害。生活所迫，{reg59?小姐:伙计} 。请别轻举妄动，我们马上离开。
qstr_Luckily_for_you_you_|你很走运，我现在心情不错。把所有钱交出来，我或许可以让你活下去。
qstr_This_a_robbery_eh?_I|这是一次抢劫，明白不？我给你一个机会交出你所有的东西，否则我和我的兄弟们将杀了你，明白不？
qstr_big|大
qstr_medium_sized|中等
qstr_small|小
qstr_don_t_|不要
qstr_Note_4:_{s9}_has_sen|笔记4：{s9}派人来杀你了。他们就在河边埋伏着，虽然你活下来了，但你从此难以安寝。
qstr___A_large_group_of_S|——一大批撒克逊人拦住了你的去路，他们的首领走出来并举手示意。——
qstr_we_have_made_very_li|到目前为止，我们基本没有什么进展
qstr_we_have_succeeded_in|我们成功占领了一些土地，但是我们还有很长的一段路要走
qstr_we_have_become_a_sig|我们现在成了显赫一方的势力了，我们很有机会能赢得最终的胜利。
qstr_we_are_winning_the_w|我们赢得了这场战争，但是我们的敌人还在顽强抵抗
qstr_we_are_on_the_verge_|我们已经接近最终的胜利了。残余的敌人完全够不成威胁，但是我们仍然需要将他们赶尽杀绝。
qstr_Warlord|军阀
qstr_Note_5:_You_fell_in_|笔记5：你和莫莉卡相爱了。
qstr_{s21}_seems_happy._{|{s21}看起来很高兴。{s21}看来挺开心。
qstr___She_smiles.__|——她微笑了——
qstr___He_mutters_somethi|——他嘴里嘟囔着，好像在和看不到的人说话。——
qstr___He_seems_very_nerv|——他看起来非常紧张恐惧。——
qstr_Please_calm_down._I_|请冷静，我不是你的敌人。深呼吸一下，再告诉关于我母亲的事情。（冷静）
qstr_You_re_making_me_wor|你让我非常担心……请冷静下来，并告诉我关于我妈妈的事。（谨慎）
qstr_Relax!_You_re_talkin|别紧张，我没有恶意，而我将保护你免遭任何人的伤害。（易怒）
qstr_Calm_down_and_tell_m|冷静下来，告诉我关于我母亲的事情！否则，我发誓，只有你的尸体会回答我的问题。（嗜血）
qstr_Thank_you_for_being_|感谢你的理解。今天太糟糕了，我感觉好点了。听着，我有重要的事情要说。
qstr_Please_please_do_not|请别那么着急！斯温在焦急时，会把那些打扰他的人的手指全部砍下来。看，我现在好多了，我有重要的事情要说。
qstr_Oh_well_yes_I_trust_|哦，好，好的，我相信你。她告诉我要相信你。我告诉你所有事情。
qstr_Oh_my_god..._Do_not_|天啊……别杀我！别杀我！我冷静下来了，我会亲吻你走过的地方。我是你的仆人，奴仆，我什么事情都告诉你。
qstr___He_seems_calmer.__|——他看起来冷静点了。——
qstr_In_Boar_Grove_you_fo|在野猪林，你找到了一个名叫贝达的牧师，他曾经是你母亲的仆人。他现在自由了，因此前来告诉你关于你母亲的事情。你终于能有关于妈妈的消息了，再进一步寻找你就能找到她了。在港口找老船长。他总是在船附近。
qstr___He_smiles.__|——他笑了起来。——
qstr___He_closes_his_eyes|——他闭上他的双眼，似乎是在找恰当的语句。——
qstr___He_takes_a_deep_br|——他深吸了一口气，缓慢并且平静。——
qstr_Asbjorn_has_joined_y|阿斯比恩加入了你的部队，他是来保证你加入舰队的。除此之外，他还申请以医师的身份服务。现在是时候回到{s3} ，告诉港口主管你准备好出发了。
qstr___Bodo_seems_excited|——博多看起来很兴奋。——
qstr___He_smiles_at_you._|——他对你微笑。——
qstr___He_takes_the_lette|——他从你手中拿过了信。——
qstr___He_looks_up_from_t|——看完之后他把信还给了你——
qstr_Bodo_s_letter_has_fa|博多的信落到你手里了，而且你决定在解决了议事会的事情后，再做进一步的打算。现在，你要告诉{s9}说信在与阿提利的战斗中被烧掉了，并保证{s11}不会用这个来对付他。
qstr_Brunhild_thinks_that|伯伦希尔认为你是个软弱的领袖。
qstr_Reginhard_thinks_tha|雷因哈德认为你是个软弱的领袖。
qstr_Bodo_thinks_that_you|博多认为你是个软弱的领袖。
qstr_Brunhild_has_advised|伯伦希尔建议你先找到{s9}的敌人，{s11} ，以在当你将自己交给拉格纳之子之前获得支持。
qstr_I_m_not_sure_I_want_|我不认为自己想听你的意见。（冷静）
qstr_You_are_worrying_me_|你在让我担心，博多。你想说什么赶紧说！（谨慎）
qstr_I_m_very_calm..._Tru|我很冷静……相信我——你不会想看见我焦急的样子。我耐性有限，说吧，否则我就揍你。（易怒）
qstr_Whatever_you_have_to|你想说什么就说吧，我已经在很久之前就做好准备了。（嗜血）
qstr_I_understand_my_frie|我懂，朋友，但你也得知道……所有事情。
qstr_Stay_calm_please._I_|保持冷静，拜托了。我会告诉你所有事情。
qstr_No_need_to_be_aggres|别那么冲动。你知道我对朋友的忠诚。现在，听清楚了。
qstr_I_admire_your_strong|我佩服你的坚强，那我就说了。
qstr___He_puts_his_hand_o|——他把手放在你的肩膀并很悲伤地笑着。——
qstr___He_sighs_impatient|——他看起来有点不耐烦。——
qstr___He_steps_back_take|——他退后一步，作了个深呼吸，并看着你的眼睛——
qstr_Sven_wanted_you_but_|斯温想抓你，但他怎么知道在哪里找你？谁背叛了我们？（聪慧）
qstr_Your_redemption_and_|你的复仇和我的目标是一致的。（坚强）
qstr_I_understand_that_wh|我知道事情是因为你而发生的，但这不是你的错。（耐心）
qstr_You_re_responsible_f|你得为发生的一切负责。斯温死后，你也得付出生命的代价。（正直）
qstr___He_sighs_with_anno|——他看起来很烦恼。——
qstr___He_lowers_his_head|——他放下他的手，十分尴尬，紧张不安。——
qstr___He_strains_his_fac|——他立刻变了脸色并目不转睛地瞪着你。——
qstr_Info:|信息：
qstr_Regarding_that_matte|根据情况，我本以为沃登里克号很安全，但我错了。（聪慧）
qstr_Note_Bodo:_Bodo_feel|博多的笔记：博多觉得自己间接地要为沃登里克号的惨剧负责。
qstr_So_our_paths_have_me|我们命运与共，朋友。我会告诉你其他的事，然后联合起来对付共同敌人。（坚强）
qstr_Note_Bodo:_Bodo_felt|博多的笔记：博多感到自己间接上该为沃登里克号的惨剧负责，但你原谅了他。
qstr_Thanks_for_your_trus|感谢你的信任。希望这是值得的。（耐心）
qstr_That_would_be_just._|这很公平，我为此也付出了代价。当牛颈斯温死后，我会把自己的脖子放在你的剑下。（正直）
qstr_Note_Bodo:_Bodo_is_i|博多的笔记：博多感到自己间接上该为沃登里克号的惨剧负责，你的正义感要求他必须在牛颈斯温死后为此赎罪，你承诺要杀死他。
qstr___He_shrugs.__|——他耸了耸肩。——
qstr_Finally_all_roads_le|终于，所有证据都指向“蛇眼”{s11} 。牛颈斯温已经带走了你的母亲，因为{s11}想要得到博多给你母亲的一件东西，并告诉了她很重要。斯温认为你的母亲才是这东西的主人，而不是博多。因此，她还活着。你必须赶快在斯温察觉并杀了她之前找到她！
qstr_Finally_all_roads_lea|终于，所有证据都指向“蛇眼”{s11} 。牛颈斯温已经带走了你的母亲，因为{s11}想要得到博多给你母亲的一件东西，并告诉了她很重要。斯温认为你的母亲才是这东西的主人，而不是博多。因此，她还活着。你必须赶快在斯温察觉并杀了她之前找到她！
qstr___He_takes_the_mead_|——他把酒杯送到嘴边，喝了很久，再看你。——
qstr_You_don_t_trust_me._|你不信我。我理解，我是这里的过客，或许我该走了。（冷静）
qstr_I_see..._Something_m|看得出来……有些事情让你很紧张。（谨慎）
qstr_Look_at_me._Who_else|看着我。除了你我这里还有谁？没人！（易怒）
qstr_You_looked_like_some|你看起来是个能让朋友信任的人，我会再去一次的。(乐观)
qstr_{s21}_seems_happy.|{s21}看起来很开心。
qstr_Please_do_not_leave!|请不要离开！让我们继续边喝边谈！
qstr_Nervous?_Me?_No_mate|你觉得我只是神经质？不，伙计。我是危险的人。
qstr_I_ve_just_gotten_to_|我刚刚才认识你，我觉得你可能是别人派来想从我口中挖出点什么的人。
qstr___He_smiles_drinks_a|——他微笑了一会，然后又喝了喝酒，你看着蜂蜜酒流出了他的嘴巴，并沿着他下巴流了下来。之后他又打了个嗝。——
qstr___He_seems_not_hear_|——他似乎没听到你说什么。当他脑中想到了什么东西的时候，愉悦流露在他的脸上。——
qstr_{s11}_wants_you_to_m|{s11}想要你找到{s4}的艾达，为弗里斯寡妇和孤儿捐款。她的商店在码头处。
qstr___He_looks_happy_to_|——他听到你的话好像很高兴。——
qstr___He_looks_at_you_wi|——他深切地望着你。——
qstr_You_have_decided_to_|你决定把阿斯图里亚斯国王的信带给西撒克逊的国王，把它带到{s11} 。
qstr_You_have_decided_to_g|你决定把信交给拉格纳之子，把它带到{s11} 。
qstr___Bodo_seems_overcom|—— 博多似乎喜出望外——
qstr_Note_Bodo:_With_your|博多的笔记：因为你将阿斯图里亚斯国王的信给了丹麦人，博多感到自己被出卖了。这名坎塔布里亚人已经离开了你的队伍，并以死亡来威胁你，让你不要再去找他。
qstr___His_face_goes_from|——他的脸从困惑变得怒不可遏。——
qstr___Brunhild_comes_up_|——伯伦希尔向你走来，然后紧紧地拥抱你。——
qstr___His_eyes_are_a_wel|——他的眼中充满了悲伤，眼泪在脸颊上流着。——
qstr___Egil_bares_his_tee|——埃吉尔露出了他的牙齿，似乎很生气。——
qstr_Note_Reginhard:_Regi|雷因哈德的笔记：雷因哈德在议事会之前背叛了你，你不得不在议事会裁决下的决斗杀了他。
qstr_Your_men_think_that_|你的人认为你是个强势的领袖。
qstr___He_seems_surprised|——他看起来很惊讶，但是惊讶很快就被强烈的愤怒代替了。——
qstr_Your_men_think_that_y|你的人认为你是个软弱的领袖。
qstr_Note_Egil:_Reginhard|埃吉尔的笔记：雷因哈德在议事会之前背叛了你，但你原谅了他。但是，埃吉尔不接受你的决定，你不得不依着议事会的判决在一场决斗中杀了他。
qstr_Note_Egil:_Reginhard_|埃吉尔的笔记：雷因哈德在议事会上背叛了你，但你饶了他一命。不管怎样，埃吉尔并不认同你的做法。因此你不得不在一场你死我活的决斗中杀死了他。^最后，你因为不能原谅他的背叛，将雷因哈德逐出了你的团队。
qstr_Note_Egil:_Reginhard_b|埃吉尔的笔记：雷因哈德在议事会上背叛了你，但你饶了他一命。不管怎样，埃吉尔并不认同你的做法。因此你不得不在一场你死我活的决斗中杀死了他。^最后，你因为不能原谅他的背叛，所以也杀了雷因哈德。
qstr___Reginhard_gathers_|——雷因哈德带上了他的东西，离开了。——
qstr_Your_men_think_that_yo|你的人认为你是个有力的领袖。
qstr___You_approach_Regin|——你靠近了雷因哈德，用一把刀深深地捅进了他的脖子。你看着他瘫倒，流血，直到他的眼睛闭上。——
qstr_Your_men_think_that_you|你的人认为你是一个强有力的领导者，但他们将会挂念埃吉尔的魅力。
qstr___He_seems_happy_to_|——他听到你的消息后似乎很高兴。——
