str_yes|是
str_relation_mnus_80_ns|{s60}与你势同水火。
str_relation_mnus_70_ns|{s60}对你充满敌意。
str_relation_mnus_60_ns|{s60}对你充满敌意。
str_relation_mnus_50_ns|{s60}狠狠地盯着你。
str_relation_mnus_40_ns|{s60}非常讨厌你。
str_relation_mnus_30_ns|{s60}开始厌恶你。
str_relation_mnus_20_ns|{s60}警惕地看着你。
str_relation_mnus_10_ns|{s60}意味深长地看着你。
str_relation_plus_0_ns|{s60}面无表情地看着你。
str_relation_plus_10_ns|{s60}开始接受你。
str_relation_plus_20_ns|{s60}友善地看着你。
str_relation_plus_30_ns|{s60}亲切地看着你。
str_relation_plus_40_ns|{s60}热切地望着你。
str_relation_plus_50_ns|{s60}友好地望着你。
str_relation_plus_60_ns|{s60}非常支持你。
str_relation_plus_70_ns|{s60}非常尊敬你。
str_relation_plus_80_ns|{s60}为你欢呼。
str_relation_plus_90_ns|{s60}对你忠心耿耿。
str_relation_reg1|关系：{reg1}
str_center_relation_mnus_100|当地居民与你势同水火
str_center_relation_mnus_90|当地居民对你恨之入骨
str_center_relation_mnus_80|当地居民对你怒视
str_center_relation_mnus_70|当地居民对你充满敌意
str_center_relation_mnus_60|当地居民非常憎恨你
str_center_relation_mnus_50|当地居民狠狠地盯着你
str_center_relation_mnus_40|当地居民非常讨厌你
str_center_relation_mnus_30|当地居民开始厌恶你
str_center_relation_mnus_20|当地居民警惕地看着你
str_center_relation_mnus_10|当地居民意味深长地看着你
str_center_relation_plus_0|当地居民面无表情地看着你
str_center_relation_plus_10|当地居民开始接受你
str_center_relation_plus_20|当地居民友善地看着你
str_center_relation_plus_30|当地居民亲切地看着你
str_center_relation_plus_40|当地居民热切地望着你
str_center_relation_plus_50|当地居民对你交口称赞
str_center_relation_plus_60|当地居民非常支持你
str_center_relation_plus_70|当地居民非常尊敬你
str_center_relation_plus_80|当地居民为你欢呼
str_center_relation_plus_90|当地居民对你忠心耿耿
str_town_prosperity_0|^{s60}镇的贫穷到了不可忍受的地步。
str_town_prosperity_10|^{s60}镇看起来相当贫穷且凄凉。
str_town_prosperity_20|^{s60}镇看起来非常贫穷且荒芜。
str_town_prosperity_30|^{s60}镇看起来很贫穷且被忽视。
str_town_prosperity_40|^{s60}镇看起来有点贫穷且在奋斗中。
str_town_prosperity_50|^{s60}镇似乎很不起眼。
str_town_prosperity_60|^{s60}镇似乎很繁荣。
str_town_prosperity_70|^{s60}镇似乎非常有活力。
str_town_prosperity_80|^{s60}镇看起来很富有而且很气派。
str_town_prosperity_90|^{s60}镇看起来非常富有而且物质丰富。
str_town_prosperity_100|^{s60}镇看起来极其富有而且富丽堂皇。
str_fort_prosperity_0|^{s60}城堡的贫穷到了不可忍受的地步。
str_fort_prosperity_10|^{s60}城堡看起来相当贫穷且凄凉。
str_fort_prosperity_20|^{s60}城堡？看起来非常贫穷且荒芜。
str_fort_prosperity_30|^{s60}城堡看起来很贫穷且被忽视。
str_fort_prosperity_40|^{s60}城堡看起来有点贫穷且在奋斗中。
str_fort_prosperity_50|^{s60}城堡似乎很不起眼。
str_fort_prosperity_60|^{s60}城堡似乎很繁荣。
str_fort_prosperity_70|^{s60}城堡似乎非常有活力。
str_fort_prosperity_80|^{s60}城堡看起来很富有而且很气派。
str_fort_prosperity_90|^{s60}城堡看起来很富有而且很气派。
str_fort_prosperity_100|^{s60}城堡看起来极其富有而且富丽堂皇。
str_village_prosperity_0|^{s60}村的贫穷到了不可忍受的地步。
str_village_prosperity_10|^{s60}村看起来相当贫穷且凄凉。
str_village_prosperity_20|^{s60}村看起来非常贫穷且荒芜。
str_village_prosperity_30|^{s60}村看起来很贫穷且被忽视。
str_village_prosperity_40|^{s60}村看起来有点贫穷且在奋斗中。
str_village_prosperity_50|^{s60}村似乎很不起眼。
str_village_prosperity_60|^{s60}村似乎很繁荣。
str_village_prosperity_70|^{s60}村似乎非常有活力。
str_village_prosperity_80|^{s60}村看起来很富有而且很气派。
str_village_prosperity_90|^{s60}村看起来非常富有而且物质丰富。
str_village_prosperity_100|^{s60}村被大片肥沃的耕地包围，看起来极为富有。
str_town_alt_prosperity_0|^在市场出售的那很少几样东西似乎可以在这些山区居民以外的地方卖个好价钱。这些人营养不良，他们的牲口也病歪歪的像要死了一样，而且他们交易的工具也都破破烂烂的。那些穷街陋巷都遗弃给了成堆的苍蝇和成群的狗。
str_town_alt_prosperity_20|^你听到人们在抱怨市场里日用品的价格而且半数东西都缺货。你看到人和动物们都是营养不良的样子，房子和工具都短缺而且需要修补。可能许多人都迁到别的地方去找份工作去了。
str_town_alt_prosperity_40|^你听到不时有人抱怨市场里日用品的价格，不过似乎还算有合理数量的商品在出售。你偶然看到有遗弃的房子，商店，或者手推车，但还算正常。
str_town_alt_prosperity_60|^人们看上去营养良好，而且对生活比较满足。工匠们的生意红火，还有一些移民从别的地方来这里，似乎是想试试运气的。
str_town_alt_prosperity_80|^城墙，街道，和住宅都保养的很好。市场里聚集着被这里的商品和工作吸引的附近地区的移民。锤打声和织布机声此起彼伏，工匠们的作坊里生意热火朝天。
str_village_alt_prosperity_0|^只有一部分人能够有力气下地干活，许多田地因此荒芜。剩下的人大多面黄肌瘦，不堪劳作，或者已经离乡乞讨去了。牲口们要么已经很久没有喂过了，要么干脆被吃掉了，其中的一些残骸还被丢在外面的地上，它们的骨头被野兽竞相啃食。
str_village_alt_prosperity_20|^有一些人和牲口在地里干活，但是他们数量有限，这使得一部分村民不得不背井离乡，另谋生路。农具大都残破不堪。一部分边缘的田地看上去就要被灌木和杂草重新占领了。
str_village_alt_prosperity_40|^田地和果园里都是一片繁忙的景象，村民们都按着时节忙碌手头的活计。不管是人还是牲口，看上去都健康强壮。不过，还是有一部分田地被抛荒了，还有一部分围墙看上去急需修葺，看来这个村子的人手还不是很宽裕。
str_village_alt_prosperity_60|^田地和果园里都充满了活力，随处可见的谷物口袋和风干肉是这个村子农田和牧园生产能力的最好证明。
str_village_alt_prosperity_80|^田地和果园里都充满了活力，看上去还很新的水渠说明这个村子的农民在耕种之外，还有足够的经历和时间来干这些活计。打短工的人聚集在此，帮忙干活，让村子日益兴旺。
str_oasis_village_alt_prosperity_0|^那片棕榈树林几乎被遗弃了，那些灌溉它的水渠也都被淤泥堵塞住了。你所见到的那些村民都面黄肌瘦，劳作不休。牲口们要么已经很久没有喂过了，要么干脆被吃掉了，其中的一些残骸还被丢在外面的地上，它们的骨头被沙漠里的野兽竞相啃食。
str_oasis_village_alt_prosperity_20|^没有村民可以去照料那片棕榈树林，在有些地方，沙漠已经侵入了园地。许多水渠都已经被淤泥堵塞住了，水井和储水池都灌满了沙子。
str_oasis_village_alt_prosperity_40|^人们都在忙着照料那片棕榈树林，爬上树顶摘取果实。健壮的牲口拖着唧筒和运水的小车向地里走去。不过，有些水渠和储水池需要进行一些维护了。
str_oasis_village_alt_prosperity_60|^果树林和果园里都充满了活力。农民们在树顶上快乐的对着彼此呼喊，为椰枣授粉。木质唧筒的吱嘎声，牲口的叫声，在村民精心维护下的纵横水渠让村子显得欣欣向荣。
str_oasis_village_alt_prosperity_80|^果树林里充满了活力，农民们正在把丰收的椰枣装起来，运到市场上去卖。人们都忙着挖掘新的井和水渠，以开发更多可供灌溉的田地。
str_acres_grain|成片的耕地
str_acres_orchard|成片的果树林
str_acres_oasis|成片的果园
str_looms|织布机
str_boats|小船
str_head_cattle|牛头
str_head_sheep|羊头
str_mills|磨房
str_kilns|烧窑
str_pans|平底锅
str_deposits|押金
str_hives|蜂房
str_breweries|酿酒厂
str_presses|印刷机
str_smithies|铁匠铺
str_caravans|陆地商队
str_traps|行李
str_gardens|小花园
str_tanneries|制革桶
str_master_miller|高级磨坊工
str_master_brewer|高级酿酒工
str_master_presser|高级榨油工
str_master_smith|高级铁匠
str_master_tanner|高级皮革匠
str_master_weaver|高级织工
str_master_dyer|高级染匠
str_war_report_minus_4|我们几乎要输掉这场战争了
str_war_report_minus_3|现在的形势看起来有些严峻
str_war_report_minus_2|战事进展得不太顺利
str_war_report_minus_1|如果我们能振作起来，我们还是可以赢得这场战争的
str_war_report_0|我们与敌人势均力敌
str_war_report_plus_1|我们有一定机会赢得这场战争
str_war_report_plus_2|战事进展得非常顺利
str_war_report_plus_3|打败他们完全不成问题
str_war_report_plus_4|我们几乎要赢得这场战争了
str_persuasion_summary_very_bad|你尽最大努力去说服{s50} ，但是你没有一个论证是正确的。每次你开始想使表达的东西变得有意义，但是你说的东西似乎都是彻底错误的，以至于使你自己的思路都断了。当你结束交涉的时候，你都没能把你认同的某一个观点表达清楚，而且你意识到你所做的一切是在把自己推进一个越挖越深的大坑里。毫不奇怪，{s50}完全不为你动。
str_persuasion_summary_bad|你试着说服{s50} ，但是{reg51?她:他}从最开始起就提防着你。你再好的辩论对于你自己的耳朵而言也还是那么空洞。{s50}同样也没能从你说的东西看出什么高见。
str_persuasion_summary_average|{s50}被证实是一个有着尖锐思想且很能辩论的人，你基本就没有办法使{reg51?她:他}反过来接受你的任何观点。最终，在这场辩论中，你们两人都没能使对方偏向各自的立场。
str_persuasion_summary_good|凭借敏捷的思维和流畅的辩论，你设法把你的观点论证得很好，迫使{s50}认同你的一些观点。然而{reg51?她:他}仍然对你的要求表示怀疑。
str_persuasion_summary_very_good|你富有激情的演讲像诗歌一样在听众耳朵里回想。整个世界似乎都安静下来以便更清楚地听你演讲。这些激励人心的话语把{s50}深深打动了，{reg51?她:他}看起来非常乐意帮助你。
str_secret_sign_1|大衣柜在午夜的时候跳起舞来……
str_secret_sign_2|我正在卖这些拜占庭挂毯。你想买一条吗？
str_secret_sign_3|我的一个朋友的朋友送我……
str_secret_sign_4|风猛烈里从东面吹来，这条河的水变红了……
str_countersign_1|但是他是为梳妆台或者烛台而跳的吗？
str_countersign_2|是的，我想买一条，你有蓝色的吗？
str_countersign_3|但是，我的朋友，你朋友的朋友没有一个朋友会是像我这样的。
str_countersign_4|你生病了吗？
str_name_1|艾尔
str_name_2|奥德温
str_name_3|伯敦
str_name_4|卡德蒙
str_name_5|蔡尔
str_name_6|科恩雷德
str_name_7|艾巴德
str_name_8|阿斯菲尔
str_name_9|艾法
str_name_10|爱普沃德
str_name_11|肯吉斯
str_name_12|荷沙
str_name_13|奥斯雷德
str_name_14|泰德沃夫
str_name_15|威克雷德
str_name_16|乌法
str_name_17|辛尼
str_name_18|昆道格
str_name_19|艾尼夫
str_name_20|戴弗格
str_name_21|切尼
str_name_22|卡德凡
str_name_23|卡德贡
str_name_24|瑞沃隆
str_name_25|海威尔
str_surname_1|伦敦威克的{s50}
str_surname_2|朵斯要塞的{s50}
str_surname_3|贝班堡的{s50}
str_surname_4|温道鲁要塞的{s50}
str_surname_5|厄梅马查的{s50}
str_surname_6|锡伦要塞的{s50}
str_surname_7|德拉图堡的{s50}
str_surname_8|里斯费尔的{s50}
str_surname_9|洛尔堡的{s50}
str_surname_10|科恩要塞的{s50}
str_surname_11|厄夫堡的{s50}
str_surname_12|诺威治的{s50}
str_surname_13|莱得切堡的{s50}
str_surname_14|昂莱丘的{s50}
str_surname_15|迪纳斯的{s50}
str_surname_16|布希德丘的{s50}
str_surname_17|斯旺纳维的{s50}
str_surname_18|沃德顿的{s50}
str_surname_19|巴敦的{s50}
str_surname_20|林安艾克的{s50}
str_surname_21|高个的{s50}
str_surname_22|瘦弱的{s50}
str_surname_23|滑胡子{s50}
str_surname_24|精瘦的{s50}
str_surname_25|贫穷的{s50}
str_surname_26|丑陋的{s50}
str_surname_27|诚实的{s50}
str_surname_28|可怕的{s50}
str_surname_29|激进的{s50}
str_surname_30|阴险的{s50}
str_surname_31|矮个的{s50}
str_surname_32|单纯的{s50}
str_surname_33|无畏的{s50}
str_surname_34|勇敢的{s50}
str_surname_35|小心的{s50}
str_surname_36|胆小的{s50}
str_surname_37|发亮的{s50}
str_surname_38|性急的{s50}
str_surname_39|机智的{s50}
str_surname_40|冒失的{s50}
str_surname_41|冲动的{s50}
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|杀敌数：{reg1}
str_number_of_troops_wounded_reg1|伤敌数：{reg1}
str_number_of_own_troops_killed_reg1|我方阵亡：{reg1}
str_number_of_own_troops_wounded_reg1|我方受伤：{reg1}
str_retreat|撤退！
str_siege_continues|继续战斗……
str_casualty_display|我方伤亡：{s10}^敌方伤亡：{s11}^{s12}
str_casualty_display_hp|你受到{reg1}点伤害。
str_quest_log_updated|任务日志更新……
str_banner_selection_text|你被授予携带旗帜的权利。旗帜是身份与荣耀的象征。你想选择哪种旗帜？
str_retirement_text_1|当你意识到你将入不敷出的时候已经晚了。即使精打细算你也很快花光了身上所有的钱，而你在窘困中进行了几次令人绝望的努力企图重新开始自己的冒险。最后你在{s9}城里当了个乞丐，靠接济和教堂的施舍过活。
str_retirement_text_2|当你意识到你将入不敷出的时候已经晚了。即使精打细算你也很快花光了身上所有的钱。当你的钱很快地在你的手中消失你被迫开始了在{s9}城的后街小巷里的犯罪生涯，用你的那点能耐靠打劫妇女以及贫穷的市民勉强维持生活。
str_retirement_text_3|当你意识到你将入不敷出的时候已经晚了。即使精打细算你也很快花光了身上所有的钱，最后作为一个身无分文的流浪者，从一个酒馆漂流到另一个酒馆，靠讲些没人相信的战争故事来讨口酒喝。
str_retirement_text_4|你存下来的钱并不能维持多久，但是你想办法凑了足够的钱在{s7}村庄的附近买了一小片地。当上了自由农。很快你就吸引了未来的{reg59?丈夫:妻子} 。现在你就成了当地的英雄。你时常在宴会上得到人们的尊重，而你的冒险经历在酒馆和客栈一遍又一遍地被人们口口相传，所以孩子们将永远记得你的事迹。
str_retirement_text_5|你存下来的钱并不能维持多久，不过还是够用来在{s9}城买个小酒馆。尽管当地人一开始对你有所提防，他们很快就接受容纳了你。现在你让酒馆成了一个受欢迎的宴会和见面场所。人们从数英里以外赶来吃饭和留宿，因为他们都被你绝对的声望和你所说的那些冒险岁月里眼花缭乱的故事迷住了。
str_retirement_text_6|你在你的冒险生涯中精明地存下钱来，而现在你的银子和你的聪明才智让你进行了一些极好的投资来巩固你的未来。收购了{s9}城的几个铺子和仓库之后，你的机智让你成为城里最为卓越的商人之一，并且你很快成为一个富有的人，你的贸易帝国就像你的战争事迹一样闻名。
str_retirement_text_7|作为一个有封地的贵族，不管封地有多小，你的未来也差不多可以确定了。你迁入了你的领地{s7} ，主宰着村庄和农田，支配着地方法院并且向你的君主履行着你的义务。有时候你的君主召集你并且在他的战役中听命，但是这些日常工作还是简单的，而你再也没有真正回到你年轻时候的冒险经历。你已经置下大笔财富。因为拥有自己的领主大厅和领地，除了你健康的体魄和自己的领地所能给予给你的以外，你也没有别的奢求了。
str_retirement_text_8|毫无疑问，你为你自己做的非常好。你广阔的领地和积累的财富足够保证你在余下的日子里过着富足而省心的生活。退休在你的封地{s8} ，你改变你的冒险生涯而转向政治，很快你就在你君主的王国里面建立了自己相当可观的权威。随着自己的兴趣爱好忙碌，在自己的林地里打猎，在领主大厅里大摆宴席，以及吹嘘着上百个耐听的战争事迹，你无忧无虑地让剩余的每一年都过的有滋有味。
str_retirement_text_9|作为你得力和忠心服务的回报，你的君主宣布你被授予一个世袭的头衔，加入了士族最显赫的贵族圈。很快你完成了作为{s7}男爵的授勋仪式，并且你成为了你君主的近臣和副手之一。你蕴藏的声望给予了你很多无形的影响力进而成为你公开的政治能力。现在你在权力游戏之中消磨时光，管理着你巨大的封地，并且叙述着当年的冒险与光荣。
str_retirement_text_10|尽管你出身卑微，你的君主却对你尊重有加，当他赐予你{s9}城的{reg59?女伯爵:伯爵} 世袭头衔的时候在当地士族中引起了轩然大波。巨大的封地和财富现在供你支配。你很快成为了你的君主最信任的谋臣，几乎和他平起平坐并且处理他领土的大部分事务，而且作为不列颠及爱尔兰大陆最有权势的角色你在你那光彩夺目的宫殿里安放了一个与之相配的王座。
str_loot_village|攻击无辜的人们
str_steal_from_villagers|从贫民那偷窃财物。
str_rob_caravan|抢夺商队
str_sell_slavery|买卖人口
str_men_hungry|部队缺少食物
str_men_unpaid|不够支付薪水给部队
str_excessive_casualties|让每场战斗在我方来说只是用敌人鲜血洗澡
str_surrender|投降
str_flee_battle|逃跑
str_pay_bandits|缴过路费
str_fail_quest|一个以荣誉担保的任务失败了
str_treason_one|荣誉
str_missed_npc|失败
str_squander_money|托管的钱被浪费了
str_murder_merchant|我们将自己陷于冷血的谋杀
str_round_up_serfs|代表贵族围捕奴隶
str_battle_fate_1|战斗最激烈的时刻我们分散了
str_battle_fate_2|我受了重伤，躺着等死
str_battle_fate_3|我被击昏了
str_battle_fate_4|我被俘虏并悬出赎金
str_battle_fate_5|我被俘虏，不久找了个机会逃跑了
str_npc_morale_report|我{s6} 你选择的同伴，{s7} 你的领导风格，和{s8} 整体情况。
str_happy|喜欢
str_content|满足于
str_concerned|关心
str_not_happy|一点都不喜欢
str_miserable|特别害怕
str_morale_reg1|士气：{reg1}
str_bar_enthusiastic|热情
str_bar_content|满足
str_bar_weary|厌倦
str_bar_disgruntled|不满
str_bar_miserable|害怕
str_here_plus_space|这里
str_npc1_intro|日安，阁下。我叫卡约，我父亲送我出外。
str_npc2_intro|嗨！我的名字是埃吉尔。
str_npc3_intro|{reg59?谁派你来的？我不会再回去的！:不要跟着我，我受够了在我过去的日子一直压榨我的人。}
str_npc4_intro|是的？
str_npc5_intro|你好，朋友。愿意跟我喝杯酒吗？
str_npc6_intro|我有些事情要和你说，认真听好。
str_npc7_intro|嗯，怎么了？顺便说下，离我远点。
str_npc8_intro|你想要什么？
str_npc9_intro|你在这儿，好心的{reg59?小姐:先生} 。能好心的请我喝杯酒么？
str_npc10_intro|愿神给予您仁慈，{reg59?夫人:先生} ！我是厄运缠身的威尔士人。
str_npc11_intro|嗨，{reg59?美女:帅哥} 。我已经看你好一会了。
str_npc12_intro|嗨，{reg59?女士:先生} 。很高兴认识你。
str_npc13_intro|是的，你想要什么？
str_npc14_intro|你好，旅行者。我是艾尔楚，一个戈伊德尔族战士。毫无疑问你肯定听过我。
str_npc15_intro|（欢呼声）！嗨，{reg59?夫人:先生} 。我是阿格霍斯。你碰巧很快离开这个地方吗？
str_npc16_intro|嗯……你……我……
str_npc1_intro_response_1|是的，我知道，你说吧。
str_npc2_intro_response_1|说吧，埃吉尔。
str_npc3_intro_response_1|冷静下来，我不会伤害你，为什么你这么害怕。
str_npc4_intro_response_1|你不是很健谈，是么？
str_npc5_intro_response_1|这是当然。跟谁一起喝酒更有感觉？
str_npc6_intro_response_1|继续，朋友？
str_npc7_intro_response_1|我很抱歉，我只是想说你只是运气差了点。
str_npc8_intro_response_1|仅仅一会的时间，外国人，如果你不急的话。
str_npc9_intro_response_1|你让我不得不拒绝另一个人。
str_npc10_intro_response_1|你为什么这么说，嗯？
str_npc11_intro_response_1|你是谁，为啥盯着我？
str_npc12_intro_response_1|很高兴认识你！
str_npc13_intro_response_1|如果你愿意，我乐意再多个旅伴。
str_npc14_intro_response_1|嗯。。。我不这样认为。
str_npc15_intro_response_1|我是，你在担忧什么，不介意告诉我吧？
str_npc16_intro_response_1|你是结巴么？
str_npc1_intro_response_2|是的，我知道他想要你和我一起，但我不需要你。再见。
str_npc2_intro_response_2|我有更重要的事情要做。
str_npc3_intro_response_2|走开，小姑娘，我还有活要干，我不想做一些让你害怕的事情。
str_npc4_intro_response_2|不。
str_npc5_intro_response_2|我没时间干那个。
str_npc6_intro_response_2|我还有更好的事情去干。
str_npc7_intro_response_2|好吧，我再也不会麻烦你了。
str_npc8_intro_response_2|没事，我只是没心情开玩笑。祝你好运！
str_npc9_intro_response_2|你自己喝去吧。
str_npc10_intro_response_2|真是一堆傲慢的话，我不想听，还是祝你好运吧。
str_npc11_intro_response_2|不，我没时间听你废话。
str_npc12_intro_response_2|对不起，我还有些要紧事得先处理。
str_npc13_intro_response_2|没什么，我道歉。
str_npc14_intro_response_2|不，我不想说我愿意认识你。
str_npc15_intro_response_2|如果你少管闲事，我会感激不尽的，先生。
str_npc16_intro_response_2|我要走了，等你学会说话的时候，我们再谈吧。
str_npc1_backstory_a|阁下，我是老罗马人的儿子，你知道我的家族在这里是个传奇。我们保留了我们祖先的传统——守卫哈德良长城。
str_npc2_backstory_a|只要一会，{reg59?夫人:先生} 。请听我的故事。我对你很重要。
str_npc3_backstory_a|我……对不起。但是，求你了，原谅我，自从我成为肯尼莫的雅尔家族中的女仆，我一直生活在地狱中。
str_npc4_backstory_a|我是一个行动派的人。如果你想要一个多话的男人，去找一个牧师。
str_npc5_backstory_a|我是来自博斯维的摩根。我现在被从家乡流放出来了……
