ui_music_volume|音乐音量：
ui_tutorial_face_generator|用这些按钮和滑动条来调整脸形。在图上拖动鼠标可以转动头部。
ui_restore|载入
ui_cancel|取消
ui_delete|删除
ui_confirm_delete_game|你确定你想要删除这个进度吗？
ui_error_removing_file|删除文件时出错……
ui_day_datedisplay|第%d天（%d：%d%d）
ui_reset_changes|重置
ui_weapon_proficiencies|武器熟练度
ui_skills|技能
ui_attributes|属性
ui_enter_name_here|*在这里输入名字* 
ui_edit_face|修改容貌
ui_statistics|统计
ui_next|下一页
ui_prev|上一页
ui_learn|学习
ui_question_saving_policy|请选择游戏的存盘策略：
ui_saving_policy_realistic|直面人生！不存盘就不能退出！
ui_saving_policy_nonrealistic|允许我不存盘就退出。
ui_tutorial_character_generation|现在输入你的名字，分配你的属性，技能和武器点数。点取某一项的名称获知具体信息。
ui_str|力
ui_agi|敏
ui_int|智
ui_cha|魅
ui_at_learning_limit|（达到学习限度）
ui_not_enough_skill_points_to_learn|（没有足够的技能点）
ui_strength|力量
ui_agility|敏捷
ui_intelligence|智力
ui_charisma|魅力
ui_not_enough_attributetype_to_learn_this_skill|（没有足够的%s来学习这项技能）
ui_explanation_one_handed_weapon|单手格斗武器，如剑，单手斧，钝器。
ui_explanation_two_handed_weapon|双手格斗武器，如双手剑，长斧，锤。
ui_explanation_polearm|长杆武器，如短枪，长枪，棍棒等。
ui_explanation_archery|弓。
ui_explanation_crossbow|弩。
ui_explanation_throwing|投掷武器，如标枪，飞镖，投石器等。
ui_explanation_firearms|投石索。
ui_explanation_strength|力量：每点增加1点生命。下列技能不能超过力量的1/2：铁骨，强击，强掷，强弓。
ui_explanation_agility|敏捷：每一点增加5点武器熟练度，并且略微提高移动速度。下列技能不能超过敏捷的1/2：盾防，跑动，武器掌握，骑术，骑射，掠夺。
ui_explanation_intelligence|智力：每点智力增加额外1点技能点。下列技能不能超过智力的1/2：教练，跟踪，战术，向导，侦察，等等。
ui_explanation_charisma|魅力：每点增加部队上限1人。下列技能不能超过魅力的1/2：统御，俘虏管理，交易。
ui_level|等级：%d
ui_xp|经验值：%d
ui_next_level_at|升级所需经验值：%d
ui_health_player|生命值：%d/%d
ui_health|生命值：%d
ui_attribute_points|属性点：%d
ui_skill_points|技能点：%d
ui_weapon_points|武器点：%d
ui_mission_losses_none|无。
ui_mission_losses_wounded|受伤：
ui_mission_losses_killed|死亡：
ui_party_losses|%s ：%d人受伤---%d人死于%d。
ui_casualties_sustained|伤亡状况：
ui_advantage_change|优势改变= %c%d
ui_overall_battle_casualties|战斗伤亡：
ui_advantage_outnumbered|你被潮水般的敌人包围了。
ui_advantage_major_disadvantage|情况对你不利。
ui_advantage_slight_disadvantage|你略处于劣势。
ui_advantage_balanced|双方势均力敌。
ui_advantage_fair_advantage|你掌握了优势。
ui_advantage_greatly_favored|你掌握绝对优势。
ui_tactical_advantage|战术优势：%d（%s）
ui_order_group|命令部队：
ui_question_save_changes|你改变了某些对象，你想保存这些改变吗？
ui_yes_save|是的，保存
ui_no_discard_changes|不，放弃改变
ui_everyone_control|所有人听令！
ui_everyone_around_control|附近士兵听令！
ui_others_control|其他人听令！
ui_question_give_up_fight|放弃战斗？
ui_give_up|放弃
ui_keep_fighting|继续战斗
ui_question_leave_area|离开
ui_cant_retreat_there_are_enemies_nearby|不能撤退，附近有敌人！
ui_question_retreat_battle|要撤退吗？
ui_retreated_battle|%s被击溃了。
ui_retreated_battle|%s从战场上逃走了。
ui_retreat|撤退
ui_talk|交谈
ui_duel|决斗
ui_mount|上马
ui_riding_skill_not_adequate_to_mount|（你的骑术不够）
ui_dismount|下马
ui_exit|离开
ui_door_to|通往
ui_open|打开
ui_equip|装备
ui_baggage|行李
ui_access_inventory|打开物品栏
ui_chest|箱子
ui_passage|通道
ui_go|前往
ui_retreat_battle|撤退
ui_leave_area|离开
ui_reports|报告
ui_camp|扎营
ui_terrain|地形
ui_quests|记录
ui_inventory|物品
ui_character|角色
ui_party|部队
ui_paused|已暂停
ui_click_left_button_to_cancel_wait|等待……（点左键返回）
ui_midnight|午夜
ui_late_night|深夜
ui_dawn|黎明
ui_early_morning|清晨
ui_morning|上午
ui_noon|中午
ui_afternoon|午后
ui_late_afternoon|下午
ui_dusk|黄昏
ui_evening|夜晚
ui_midnight|午夜
ui_level_limit_reached|已到达等级限制！
ui_explanation_level_limit|冒险者，骑马与砍杀在试玩模式中只能玩到第8级。如果你喜欢这个游戏的话，可以从网上购买一个使用许可。在线购买使用许可是十分方便的。然后你就可以继续玩下去了。现在骑马与砍杀会存盘然后退出。
ui_time_limit_reached|已到达时间限制！
ui_explanation_time_limit|冒险者，骑马与砍杀在试玩模式中只能玩到第30天。如果你喜欢这个游戏的话，可以从网上购买一个使用许可。在线购买使用许可是十分方便的。然后你就可以继续玩下去了。现在骑马与砍杀会存盘然后退出。
ui_target_lost|丢失目标
ui_waiting|等待中。
ui_travelling_to|前往
ui_following|跟随
ui_accompanying|伴随
ui_running_from|逃离
ui_patrolling|巡逻中
ui_patrolling_around|巡逻于
ui_holding|驻扎中
ui_travelling|移动中
ui_fighting_against|对战
ui_speed_equals|速度= %2.1f 
ui_defenders|驻军：
ui_prisoners|俘虏：
ui_1_hour|1小时
ui_n_hours|%d小时
ui_between_hours|%d-%d小时
ui_combatants|战斗人数：%d
ui_party_size|部队人数：%d
ui_party_size_between|部队人数：%d-%d
ui_merchant|商人
ui_return|返回
ui_no_cost|免费
ui_rename|重命名
ui_use|使用
ui_destroy|摧毁
ui_destructible_target|摧毁目标
ui_tutorial_inventory|这是交易窗口，按住Ctrl键点取物品可以快速购买/出售。
ui_head_armor|头部护甲：%d
ui_body_armor|身体护甲：%d
ui_leg_armor|腿部护甲：%d
ui_encumbrance|累赘度：%2.1f 
ui_you_dont_have_value|你没有%s。
ui_merchant_cant_afford_value|%s ：我付不起%s那么多，我只有%s。
ui_merchant_pay_whatever|好吧，你有多少就付多少。
ui_merchant_think_of_something_else|嗯，让我想想别的。
ui_dumping_value_items|%d件物品将永久消失，你确定要继续吗？
ui_dumping_value_item|1件物品将永久消失，你确定要继续吗？
ui_question_slaughter_food_and_eat|屠宰这个%s作为食品？
ui_money_value|钱：%s
ui_dump|丢弃
ui_outfit|服装
ui_arms|武器
ui_horse|马匹
ui_food|食物
ui_reclaim_your_sold_goods|购买物品前，先收回卖掉的同类物品！
ui_return_your_bought_goods|出售物品前，先退回买走的同类物品！
ui_polearm_no_shield|长杆（不能配盾）
ui_polearm|长杆
ui_two_handed|双手
ui_two_handed_one_handed|双手/单手
ui_one_handed|单手
ui_return_price|退回价格：%d
ui_sell_price|出售价格：%d
ui_reclaim_price|收回价格：%d
ui_buying_price|购买价格：%d
ui_default_item|默认装备
ui_buying_price_free|免费
ui_weight|重量：%2.1f 
ui_plus_value_to_head_armor|+%d头部护甲
ui_plus_value_to_body_armor|+%d身体护甲
ui_plus_value_to_leg_armor|+%d腿部护甲
ui_swing|挥砍：%d%s
ui_damage|伤害：%d%s
ui_thrust|穿刺：%d%s
ui_accuracy|精度：%d
ui_speed_rating|速度：%d
ui_value_to_damage|%c%d点伤害
ui_value_to_morale|+%1.1f部队士气
ui_resistance|抗击：%d
ui_size|尺寸：%d
ui_weapon_reach|攻击范围：%d
ui_armor|护甲：%d
ui_speed|速度：%d
ui_maneuver|操纵：%d
ui_charge|冲撞：%d
ui_hit_points|生命：%d/%d
ui_requires_value_difficulty|需要%s ：%d
ui_bonus_against_shields|对盾加成
ui_cant_be_used_to_block|不能用来格挡
ui_troop_cant_use_item|%s ：我无法使用这个！
ui_notification_riding_skill_not_enough|骑术太低，不能骑这匹马。
ui_notification_requirements_not_met|技能或属性值太低，不能使用此武器。
ui_notification_payment_value|你必须支付%s
ui_notification_payment_receive_value|你将获得%s
ui_one_handed_weapons|单手武器
ui_two_handed_weapons|双手武器
ui_polearms|长杆武器
ui_archery|弓箭
ui_crossbows|弩
ui_throwing|投掷
ui_firearms|火器
ui_reset|重设
ui_release_one|释放一个
ui_move_up|上移
ui_move_down|下移
ui_upgrade_one|升级一个
ui_party_skills|部队技能
ui_morale|士气：%s
ui_terrible|极差
ui_very_low|很低
ui_low|较低
ui_below_average|稍低
ui_average|一般
ui_above_average|稍好
ui_high|较高
ui_very_high|很高
ui_excellent|极好
ui_starving|没吃的了！%d%%
ui_weekly_cost_value|每周花费：%s
ui_company|同伴：%d/%d
ui_prisoners_equal_value|俘虏：%d/%d
ui_choose_prisoners|选择俘虏
ui_choose_companions|选择同伴
ui_rescued_prisoners|获救的俘虏
ui_captured_enemies|俘获的敌人
ui_disband|解散
ui_take_prisoner|抓俘虏
ui_take_back|取回
ui_give|给出
ui_take|取回
ui_sell|卖出
ui_hire|聘用
ui_notification_cant_hire|（不能聘用，钱不够）
ui_uncapture|释放
ui_capture|扣留
ui_party_capcity_reached|（到达部队上限）
ui_all|所有人
ui_joining_cost_weekly_wage|加入价格：%d，每周工资：%d
ui_weekly_wage|每周工资：%d第纳尔
ui_price|价格：%d
ui_number_ready_to_upgrade|%d个人可以升级了。
ui_upgrade_to_value|升级到%s（%d第纳尔）
ui_notification_no_slot_for_upgrade|没有位置可以升级到%s!
ui_shield_broken|盾牌坏了。
ui_shield_cracked|盾牌裂了。
ui_shield_deformed|盾牌变型了。
ui_you_hit_a_friendly_troop|你打到了自己人！
ui_hit_shield_on_back|击中背上的盾牌！
ui_delivered_couched_lance_damage|施加长枪冲刺伤害！
ui_received_couched_lance_damage|受到长枪冲刺伤害！
ui_speed_bonus_plus|速度奖励：+%d%%
ui_speed_bonus|速度奖励：%d%%
ui_cant_reload_this_weapon_on_horseback|在马背上无法装填。
ui_no_more_bolts|没有弩箭了……
ui_you_are_not_carrying_any_bolts|你没有带弩箭。
ui_no_more_arrows|没有箭了……
ui_you_are_not_carrying_any_arrows|你没有带箭。
ui_head_shot|爆头！
ui_delivered_number_damage|给对方%d点伤害。
ui_delivered_number_damage_to_horse|给对方的马%d点伤害。
ui_horse_charged_for_number_damage|马冲撞对方%d点伤害。
ui_received_number_damage|受到%d点伤害。
ui_horse_received_number_damage|马受到%d点伤害。
ui_value_killed_teammate|%s杀死了一名队友！
ui_horse_fell_dead|马死了……
ui_horse_crippled|马瘸了……
ui_shot_difficulty|射击难度：%2.1f 
ui_you_have_improved_your_proficiency_in_value_to_number|你%s的熟练度提高到了%d点。
ui_your_proficiency_in_value_has_improved_by_number_to_number|你%s的熟练度提高了%d点，到了%d点。
ui_value_killed_by_value|%s被%s杀了。
ui_value_fell_dead|%s死了。
ui_value_knocked_unconscious_by_value|%s被%s击昏了。
ui_value_fell_unconscious|%s被击昏了。
ui_troop_routed|%s被击溃了。
ui_troop_panicked|%s陷入恐慌。
ui_troop_fled|%s逃离了战场。
ui_you_got_number_experience|你获得%d点经验值。
ui_you_have_advanced_to_level_number|你已升到第%d级。
ui_value_has_advanced_to_level_number|%s已升到第%d级。
ui_you_got_value|你获得%s。
ui_new_quest_taken|接受新任务：%s。
ui_quest_completed_value|任务完成：%s。
ui_quest_succeeded_value|任务成功：%s。
ui_quest_failed_value|任务失败：%s。
ui_quest_concluded_value|任务结束：%s。
ui_quest_cancelled_value|任务取消：%s。
ui_lost_value|（失去%s）
ui_items_lost|（失去物品：
ui_party_has_nothing_to_eat|部队没吃的了！
ui_days_training_is_complete|每日训练结束……
ui_total_experience_gained_through_training_number|从训练中获得的总经验值：%d
ui_some_soldiers_are_ready_to_upgrade|有些士兵可以升级了。
ui_number_of_companions_exceeds_leadership_limit|同伴人数超过统御技能限制。
ui_number_of_prisoners_exceeds_prisoner_management_limit|俘虏人数超过俘虏管理技能限制。
ui_party_morale_is_low|部队士气低下！
ui_and_one_space|并且
ui_has_deserted_the_party|从部队中叛逃。
ui_have_deserted_the_party|从部队中叛逃。
ui_weekly_report|每周报告
ui_shared_number_experience_within_party|在部队中分享%d点经验。
ui_got_item_value|获得物品：%s。
ui_game_saved_successfully|成功保存进度。
ui_autosaving|自动保存中……
ui_quick_saving|快速保存中……
ui_cant_quick_save|战斗中不能快速保存……
ui_screenshot_taken_to_value|截图保存到%s了。
ui_screenshot_failed|不能保存截图。
ui_value_joined_your_party|%s加入了你的队伍。
ui_value_joined_party_as_prisoner|%s作为俘虏加入了队伍。
ui_value_has_joined_party|%s加入了队伍。
ui_value_has_been_taken_prisoner|%s被俘虏了。
ui_value_left_the_party|%s离开了队伍。
ui_number_values_left_the_party|%d%s离开了队伍。
ui_number_value_left_the_party|%d%s离开了队伍。
ui_your_relations_with_value_has_improved_from_number_to_number|你和%s的关系从%d提高到了%d。
ui_your_relations_with_value_has_deteriorated_from_number_to_number|你和%s的关系从%d恶化到%d。
ui_you_lost_value|你失去了%s。
ui_lost_item_value|失去物品：%s。
ui_got_number_value|得到%d数量的%s。
ui_lost_number_value|失去%d数量的%s。
ui_set_default_keys|恢复默认键
ui_undo_changes|撤销改变
ui_press_a_key|按一个键
ui_return_to_game|回到游戏
ui_options|选项
ui_save_and_exit|保存并退出
ui_save|保存
ui_save_as|保存为
ui_quit_without_saving|退出且不保存
ui_empty_slot|空槽
ui_game_saved|进度已经保存……
ui_confirm_overwrite|存档%s将被覆盖，你确定？
ui_dynamic_lighting|动态光影
ui_character_shadows|人物阴影
ui_grass_density|草丛密度：
ui_environment_shadows|环境阴影
ui_realistic_shadows_on_plants|植物阴影：
ui_particle_systems|粒子系统
ui_gamma|伽玛校正：
ui_character_detail|人物细节：
ui_character_shadow_detail|人物阴影细节：
ui_blood_stains|血迹：
ui_on|打开
ui_off|关闭
ui_near_player_only|只显示玩家附近
ui_default|默认值
ui_3d_grass|3D草丛：
ui_number_of_ragdolls|布娃娃数目：
ui_number_of_corpses|尸体数目：
ui_unlimited|无限
ui_anisotropic_filtering|各向异性过滤
ui_fast_water_reflection|快速水面倒影
ui_maximum_framerate|最大帧速率：
ui_show_framerate|显示帧率：
ui_estimated_performance|性能估计：%d%%
ui_change_graphics_settings_explanation|一些变化需要进入新的场景后才能生效。
ui_start_tutorial|游戏教程
ui_start_a_new_game|开始新游戏
ui_restore_a_saved_game|载入游戏
ui_exit_to_windows|离开
ui_credits|贡献者名单
ui_version_value|v%s
ui_active_quests|当前任务
ui_finished_quests|已完成任务
ui_given_on_date|始于：%s
ui_days_since_given|现在：第%d天
ui_quest_progression_number|任务进度：%d%%
ui_too_many_quests|任务太多了
ui_ok|确定
ui_move_forward|前进
ui_move_backward|后退
ui_move_left|左移
ui_move_right|右移
ui_action|动作
ui_jump|跳跃
ui_attack|攻击
ui_parry_then_attack|反击
ui_defend|防守
ui_kick|脚踢
ui_equip_weapon_1|装备物品1
ui_equip_weapon_2|装备物品2
ui_equip_weapon_3|装备物品3
ui_equip_weapon_4|装备物品4
ui_equip_next_weapon|装备下一件武器
ui_equip_next_shield|装备下一面盾牌
ui_sheath_weapon|收起武器
ui_character_window|角色窗口
ui_inventory_window|物品窗口
ui_party_window|队伍窗口
ui_quests_window|任务窗口
ui_game_log_window|日志窗口
ui_leave_location_retreat|离开/撤退
ui_zoom|缩放
ui_view_outfit|查看全身
ui_toggle_first_person_view|切换第一人称视角
ui_view_orders|查看命令
ui_quick_save|快速保存
ui_no_key_assigned|没有分配按键
ui_new_enemies_have_arrived|新的敌人到达了。
ui_reinforcements_have_arrived|援军到达了。
ui_report_casualties|报告伤亡
ui_report_experience|报告经验值
ui_current_level_value|当前等级：%d
ui_base_attribute_value|基本属性：%s
ui_battle_controls|战斗控制
ui_map_controls|地图控制
ui_general_controls|总体控制
ui_zoom_in|放大
ui_zoom_out|缩小
ui_wait|等待
ui_take_screenshot|截图
ui_randomize|随机
ui_hint|提示
ui_press_left_mouse_button_to_continue|按鼠标左键继续……
ui_loot|战利品
ui_chest|箱子
ui_cut_short|砍
ui_pierce_short|刺
ui_blunt_short|钝
ui_battle|战斗
ui_siege|围攻
ui_troops|部队：
ui_loading_module_info_file|载入剧本信息文件……骑砍中文站汉化
ui_processing_ini_file|处理配置文件……骑砍中文站汉化
ui_loading_music|载入音乐……骑砍中文站汉化
ui_loading_data|载入数据……骑砍中文站汉化
ui_loading_setting_data|载入数据设置……骑砍中文站汉化
ui_loading_textures|载入纹理……骑砍中文站汉化
ui_finished|完成。
ui_creating_game|新建游戏……骑砍中文站汉化
ui_loading_savegame_file|载入游戏……骑砍中文站汉化
ui_loading_map_file|装载地图……骑砍中文站汉化
ui_initializing_map|初始化地图……骑砍中文站汉化
ui_launching_game|启动游戏……骑砍中文站汉化
ui_capital_battle|战斗：
ui_capital_versus|--对决--
ui_tracks|踪迹
ui_battleground|战场
ui_order_1|选择命令1
ui_order_2|选择命令2
ui_order_3|选择命令3
ui_order_4|选择命令4
ui_order_5|选择命令5
ui_order_6|选择命令6
ui_order_button_hold_this_position|坚守这里
ui_order_button_follow_me|跟我来
ui_order_button_charge|冲啊
ui_order_button_stand_ground|站在原地
ui_order_button_retreat|撤退
ui_order_button_advance|前进十步
ui_order_button_fall_back|后退十步
ui_order_button_spread_out|散开
ui_order_button_stand_closer|靠拢
ui_order_button_mount_horses|上马
ui_order_button_dismount|下马
ui_order_button_hold_fire|停止射击
ui_order_button_fire_at_will|随意射击
ui_order_button_use_blunt_weapons|只使用钝器
ui_order_button_use_any_weapon|使用随意武器
ui_order_button_movement_orders|移动命令
ui_order_button_formation_orders|编队命令
ui_order_button_fire_orders|射击命令
ui_follow_me_e_|%s，随我来！
ui_charge_e_|%s，冲锋！！！
ui_stand_ground_e_|%s，站在原地！
ui_retreat_e_|%s，撤退！
ui_mount_horses_e_|%s，上马！
ui_dismount_e_|%s，下马！
ui_advance_e_|%s，前进十步！
ui_fall_back_e_|%s，后退十步！
ui_stand_closer_e_|%s，靠拢！
ui_spread_out_e_|%s，散开！
ui_use_blunt_weapons_e_|%s，只使用钝器！
ui_use_any_weapon_e_|%s，使用随意武器！
ui_hold_fire_e_|%s，停止射击！
ui_fire_at_will_e_|%s，自由射击！
ui_hold_this_position_e_|%s，坚守此地！
ui_infantry|步兵
ui_archers|射手
ui_cavalry|骑兵
ui_companions|盟友
ui_everyone_hear_me|所有人，听令！
ui_everyone|所有人
ui_everyone_around_me|附近士兵
ui_str_hear_me|%s，听令！
ui_str_and_str|%s和%s
ui_str_comma_str|%s，%s
ui_need_to_learn_prisoner_management|你需要学习俘虏管理技能，队伍才能扣押俘虏。
ui_game_log|游戏日志
ui_recent_messages|最近消息
ui_custom_battle|自定义战斗
ui_player|玩家
ui_value_denars|%d第纳尔
ui_back|后退
ui_forward|前进
ui_display_on_map|在大地图上指出
ui_info_pages|游戏概念
ui_troops2|人物
ui_locations|地点
ui_click_button_to_view_note|点击链接看详情
ui_this_page_contains_no_information|本页无信息
ui_other_pages_that_link_here|其他页的链接在此：
ui_report_is_value_days_old|（%d天前的报告）
ui_report_is_current|（最近的报告）
ui_button_party_member_healthy_total|%s(%d/%d)
ui_button_party_member_total|%s(%d)
ui_button_party_member_hero_percentage_wounded|%s(%d%% - 受伤)
ui_button_party_member_hero_percentage|%s(%d%%)
ui_percentage_value|%d%%
ui_full|完全
ui_quick|快速
ui_none|无
ui_change|改变
ui_how_to_change|怎样改变这个？
ui_change_directx_explanation|要切换DirectX 7及DirectX 9的选择，请点击启动菜单（打开游戏时弹出的窗口）上的配置按钮。
ui_dropping_picking_up|丢掉%s；捡起%s。
ui_dropping|丢掉%s。
ui_picking_up|捡起%s。
ui_unable_to_take|不能拾取。
ui_age|年龄
ui_cannot_be_used_on_horseback|在马背上无法使用
ui_enable_vertex_shaders2|渲染方式：
ui_screen_size2|屏幕分辨率：
ui_use_desktop_resolution2|使用桌面分辨率
ui_shadow_quality2|阴影质量
ui_m_low2|较低
ui_m_high2|较高
ui_m_ultra_high2|超高
ui_off2|关闭
ui_group_header|兵种分组
ui_group_rename|重新命名分组
ui_group_1|步兵
ui_group_2|射手
ui_group_3|骑兵
ui_group_4|第1组
ui_group_5|第2组
ui_group_6|第3组
ui_group_7|第4组
ui_group_8|第5组
ui_group_9|第6组
ui_group_rename|重新命名分组
ui_group_close|关闭
ui_party_b_group_information|%s隶属于%s分组
ui_thrown_or_s|投掷/%s
ui_ranged_damage|投掷：%d%s
ui_overall_quality|总体质量
ui_shader_quality|渲染质量：
ui_flora_lod_detail|树木细节：
ui_flora_degrade_distance|树木降质距离：
ui_antialiasing|反锯齿：
ui_use_depth_effects|景深效果
ui_hdr_mode|HDR 模式
ui_autoexpore|自动调光
ui_choose_profile|选择角色
ui_create|创建
ui_edit|编辑
ui_join_game|加入游戏
ui_host_game|创建游戏
ui_custom|自定义
ui_medium|中
ui_male|男
ui_female|女
ui_gender|性别
ui_edit_profile|修改角色
ui_new_profile|新角色
ui_enter_username|输入名称：
ui_invalid_username|玩家名称只能包含字母、数字和下划线。
ui_confirmation|确定了吗？
ui_multiplayer|多人联网模式
ui_server_name|服务器
ui_module_name|剧本
ui_game_type|游戏类型
ui_map_name|地图
ui_ping|Ping 值
ui_dedicated|测试版
ui_number_of_players|玩家人数
ui_password_protected|密码
ui_connect|加入
ui_local_area_network|局域网
ui_internet|互联网
ui_favorites|收藏夹
ui_source|资源：
ui_server_password|服务器密码：
ui_refresh|刷新
ui_start_search|搜寻
ui_add_to_favorites|加入收藏夹
ui_remove_from_favorites|从收藏夹删除
ui_use_speedtree|使用快速树形
ui_use_instancing|使用实体化
ui_error|出错
ui_error_server_full|服务器人数已满。
ui_error_server_full_for_non_private|服务器上没有VIP密码的人数已满。
ui_error_server_password_incorrect|密码错误。
ui_error_incorrect_serial|序列号有误。
ui_error_incorrect_authorization_key|授权码有误。
ui_error_banned_from_server|你被禁止进入此服务器。
ui_error_username_taken|你的角色名称有人正在使用。
ui_error_authentication_failed|验证失败。
ui_unable_to_connect_to_server|无法连接服务器。
ui_connection_to_server_is_lost|服务器连接中断。
ui_kicked_from_server|被服务器踢出。
ui_switch_to_module_question|此服务器运行的是另一个MOD。需要切换到此MOD么？
ui_download_module_question|此服务器运行的MOD您还没有安装。需要访问下载网页么？
ui_download_mb_new_version_question|此服务器上运行的是较新的%d.%d%d%d版本，而你现在运行的版本是较老的%d.%d%d%d。需要访问官方网站下载新版本吗？
ui_download_mb_old_version_question|此服务器上运行的是较老的%d.%d%d%d版本，而你现在运行的版本是较新的%d.%d%d%d。
ui_download_module_new_version_question|此服务器上运行的MOD是较新的%d.%d%d%d版本，而你现在运行的MOD版本是较老的%d.%d%d%d。需要访问网站并下载这个MOD的新版本么？
ui_download_module_old_version_question|此服务器上运行的MOD是较老的%d.%d%d%d版本，而你现在运行的MOD版本是较新的%d.%d%d%d。
ui_authenticating_with_steam|Steam 验证中……
ui_validating_serial_number|确认序列号……
ui_scanning_lan|搜索局域网……
ui_retrieving_servers|检索服务器名单……
ui_shield_size2|尺寸：%dx%d
ui_click_to_view_notes|点击查看纪录
ui_retrieving_server_infos|检索服务器资源(%d)……
ui_connecting_to_server|连接到服务器……
ui_requesting_to_join_the_game|请求加入游戏
ui_loading|载入……
ui_group_value_control|第%d组！
ui_drop_weapon|丢掉武器
ui_multiplayer_message_all|发言至全体
ui_multiplayer_message_team|发言至队内
ui_command_line|命令行
ui_use_ranged_weapon_as_melee|切换武器使用模式
ui_send_message_all|发言至全体
ui_send_message_team|发言至队内
ui_select|选择
ui_context_menu|子菜单
ui_round_starts_in_value_seconds|下一回合%d秒开始……
ui_watching_value|跟随%s
ui_capital_spec|【 围观】 
ui_capital_dead|【 阵亡】 
ui_instancing_error1|不能锁定即时缓冲（数据量：%d），禁止模型创建（错误代码：%d）
ui_instancing_error2|不能生成即时对象，禁止模型创建
ui_by_keyboard|根据键盘动作
ui_combat_speed_slowest|最慢
ui_combat_speed_slower|减慢
ui_combat_speed_normal|正常
ui_combat_speed_faster|加快
ui_combat_speed_fastest|最快
ui_module_newer_than_application|你所选择的MOD需要该游戏的较新版本。
ui_module_older_than_application|你所选择的MOD需要该游戏的较老版本。
ui_unbalanced|重心不稳的
ui_can_crush_through_blocks|能突破对方的格挡
ui_turn_camera_with_horse|第一人称时随坐骑而转动视角：
ui_widescreen_mode_on|开启分屏模式
ui_widescreen_mode_off|关闭分屏模式
ui_notification_cant_upgrade|（无法升级：费用不足）
ui_turn_never|从不
ui_turn_ranged_only|仅远程
ui_turn_melee_only|仅近战
ui_turn_always|总是
ui_general_options|常规选项
ui_vac_enabled|开启反作弊阀
ui_campaign_ai|战略AI：
ui_downloading_map|下载地图中(%dKB)
ui_download_completed|下载完成。
ui_server_filter|服务器筛选
ui_has_players|有玩家的
ui_is_not_full|没满员的
ui_is_password_free|无密码的
ui_native_only|限Native剧本
ui_ping_limit|Ping 限制
ui_filter_info|%d游戏服务器和%d玩家被过滤
ui_is_version_compatible|版本一致
ui_ttnet_account|TTNET Oyun 账号
ui_username|用户名
ui_password|密码
ui_error_incorrect_username_or_password|错误的用户名或密码
ui_validating_account|账号确认中……
ui_plase_enter_your_serial_key|请输入你的序列号
ui_texture_detail2|纹理细节：
ui_antialiasing2|反锯齿：
ui_use_melee_weapons_e_|%s，使用近战武器！
ui_use_ranged_weapons_e_|%s，使用远程武器！
ui_order_button_use_melee_weapons|使用近战武器
ui_order_button_use_ranged_weapons|使用远程武器
ui_order_button_weapon_usage_orders|武器使用命令
ui_fire_at_my_command_e_|%s，听命射击！
ui_fire_now_e_|%s，射击！
