dlga_start:blocked_agent|这人看起来很忙，也许我还是继续上路的好…… 
dlga_port_r_2:close_window|我出发了，再会。
dlga_start:close_window.5|你为什么要打扰我？我正忙着呢！没时间理你这种人。改天再来吧，或者别来了，这样更好。^^— — 看起来西格德现在不想接待你。你需要另寻他路获得斯温的情报。— — 
dlga_start:kinghorik_quest_danmarkprot|这里就不用担心隔墙有耳了。现在，说吧。
dlga_start:kinghorik_quest_revenge4|这里就不用担心隔墙有耳了。现在，说吧。
dlga_start:kinghorik_quest_thething1|一切安好，{playername} 。
dlga_start:svenbn_hunting1_1|一切安好，{playername} ，朋友。多亏了你，今天我们这场战役大获全胜！西撒克逊是我们的了！不过我猜你更关心牛颈斯温在哪，对吗？嗯，他跑掉了，但没逃远。他掌控了雷丁镇并在那建起了一座要塞，但我的人跟踪了他。有个领主跟我私下联络，昂韦德，他负责这任务。去雷丁镇见他。你要是决定进攻那地方的话，他的人马也任你调遣。
dlga_start:svenbn_hunting1_1.1|你好，{playername} ！丹麦人正在四散奔逃，他们在这场战役失去了很多领主。尽管他们仍有不少人幸存，我们依旧获得了重要的胜利，而他们以后也不敢造次。^^我有给你的新消息。牛颈斯温逃回了雷丁镇并在那加强防御。我的手下在一个叫爱德里克的人的带领下跟到了那里，并准备在你到达时听候调遣。时机到了！去雷丁镇彻底了结你跟牛颈斯温的恩怨吧。
dlga_start:close_window.6|抱歉，现在不是谈话的好时候。
dlga_start:close_window.7|抱歉，现在不是谈话的好时候。
dlga_start:close_window.8|抱歉，现在不是谈话的好时候。
dlga_start:close_window.9|抱歉，现在不是谈话的好时候。
dlga_start:close_window.10|抱歉，现在不是谈话的好时候。
dlga_start:close_window.11|你想要什么？我没空和你说话！赶紧出家吧。
dlga_start:close_window.12|普雷西尔王子想和你说话。
dlga_start:close_window.13|现在不是说话的时候。
dlga_start:conversation_companioncamp|--你在营地里你伙伴常待的地方找到了他。--
dlga_start:close_window.14|我正忙着呢，{playername} 。我们回头再说。
dlga_start:close_window.15|{reg59?女士:先生} ，营地里一切正常。
dlga_conversation_companioncamp:beda_conversationcamp1|我的{reg59?女士:先生},当我们在北方旅行时，有时我总想，我们生活在一个多么阴郁的世界中啊。我读过很多书，但没有一本提到了我们日常经历的那些暴行与危险。
dlga_beda_conversationcamp1:beda_conversationcamp2|啊，我觉得丹麦人是会在世界末日杀来的歌革和玛各的族裔，而西撒克逊王国则是在审判日到来前妄图逆天而行的最后的人类王国。
dlga_beda_conversationcamp2:beda_conversationcamp3|呃… 你能解释下歌革和玛各的事吗？
dlga_beda_conversationcamp2:close_window|非常有意思，但我现在没时间讲这个。
dlga_beda_conversationcamp3:beda_conversationcamp4|噢，好吧，圣经中说歌革是从极北之地玛各来的部族的领袖。在以西结书中，歌革率领着一支由不同国度久经沙场的武士组成的大军，他们会进攻主的选民的国家，将会有一场影响世界的大战。正如眼下异教徒横行英格兰，我觉得现在发生的就是预言中的事。
dlga_beda_conversationcamp4:beda_conversationcamp6|我们要关注的是此时此地，当末日到来时，我确信你不会错过的。
dlga_beda_conversationcamp4:close_window|你想得太多了，我没时间管这个。
dlga_beda_conversationcamp6:close_window|是的，你说得对。我总是爱想得过多。我会享受当下的。
dlga_conversation_companioncamp:egil_conversationcamp1|{playername} ，我喜欢你，但有时我认为你作为一个领导者还是太天真了。让我给你些建议吧。
dlga_egil_conversationcamp1:egil_conversationcamp2|我无意冒犯，但我觉得你应该好好利用我的经验。如你所知，我在宫廷长大，并在里伯度过了很长时间，在那我遇到了最强大的领主与他们的指挥官。
dlga_egil_conversationcamp2:close_window|我不需要你的说教。
dlga_conversation_companioncamp:donnachdh_conversationcamp1|你好，大人，你要知道我是从爱尔兰来的，是古代武士的直系血裔。连我的母亲也是来自英雄库丘林所属的古老氏族。
dlga_donnachdh_conversationcamp1:donnachdh_conversationcamp2|爱尔兰分裂为数个小氏族，分别托庇在组成王国的强大氏族旗下已达数年。对各氏族来说展示实力至关重要，因此小规模冲突不断。我们主要是与相邻氏族作战，到处硝烟弥漫。而很多时候，大氏族会带领其他氏族发起王国间的战争，因为岛上所有有权势的人物都向往塔拉的宝座。成为塔拉的主人意味着你是至高王，整个爱尔兰的最高统治者，这会给你的氏族带来无上的荣耀。
dlga_donnachdh_conversationcamp2:donnachdh_conversationcamp3|那么，纷争不断帮了维京人的忙。
dlga_donnachdh_conversationcamp2:donnachdh_conversationcamp3_2|无数的战争造就了无比强悍的武士。
dlga_donnachdh_conversationcamp2:donnachdh_conversationcamp3_3|应该有人统一所有的氏族。
dlga_donnachdh_conversationcamp2:close_window|我对这个兴趣不大。
dlga_donnachdh_conversationcamp3:donnachdh_conversationcamp4|我承认维京人成功在岛上的某些地方坐大，但他们同我们一样彼此不合。实际上，我敢说我们在爱尔兰的部分行事方式已为他们接受了。维京人与戈伊德尔人并肩对抗其他维京人的场面并不少见。爱尔兰的诸王已开始雇佣他们，他们经常为兵戎相见的氏族效力。
dlga_donnachdh_conversationcamp3_2:donnachdh_conversationcamp4|是的，你说得对。战争吞噬了最弱的人并迫使人们学习如何作战。毫无疑问这是个为你的军队招募战士的好去处。但如果你涉足了戈伊德尔人的政局或是试图成为最高王，你会发现这岛上是有特定的政治传统的，而你所做的一切都无法改变爱尔兰分毫。
dlga_donnachdh_conversationcamp3_3:donnachdh_conversationcamp4|所有人与氏族都觊觎着塔拉的宝座，但几乎没人有实力坐上它。那些尝试的人都送了性命，但总有另一个人和另一个氏族重蹈覆辙，轮回不息。如果塔拉的宝座一朝为你所有，愿你在有限的日子里好好享受。你的氏族会声名大振，但你也命不久矣。
dlga_donnachdh_conversationcamp4:close_window|的确，爱尔兰，或如罗马人那样称呼：希伯尼亚，是个与众不同的地方。忘了你知道的一切吧，爱尔兰是不同的！
dlga_conversation_companioncamp:donnachdh_dwywei_conv1|每当我以您的名义下命令的时候，杜威总是要来质疑我的权力。现在她正跟一些士兵在背地里说我坏话，我无法理解这种憎恶，因为我们都来自同一国家。
dlga_donnachdh_dwywei_conv1:donnachdh_dwywei_conv2|这些达里安塔的苏格兰佬都是该死的叛徒。他们就是来掠夺我们西部的土地的。几年前，我们在与诺尔斯人对抗的时候失去了敬爱的瑞蒂国王，皮克特的大部分高贵血统也随之而逝了。然后达里安塔的国王，辛耐德· 麦· 艾尔品来了，与皮克特幸存的七大家族角逐王位。
dlga_donnachdh_dwywei_conv2:donnachdh_dwywei_conv3|— — 她咬了一下牙— — ^^辛耐德在战场上击败了我们，然后在斯昆约见所有角逐皮克特王位的竞争对手。这是一场蜜酒和麦芽酒四处淌溢的宴会。接下来发生的事情就是麦· 艾尔品的背叛了：“征服者”杀死了在场的所有皮克特贵族，也就是他的竞争对手。现在，他的继承者，奥尔本国王统治着皮克特和苏格兰。谁会相信个只懂得背叛的种族？我？不！
dlga_donnachdh_dwywei_conv3:donnachdh_dwywei_conv4|又蠢又顽固的皮克特人…… 
dlga_donnachdh_dwywei_conv4:donnachdh_dwywei_conv5|忘记这些旧恨吧。现在你们有着共同的敌人，你们必须一起对抗诺尔斯人。
dlga_donnachdh_dwywei_conv4:donnachdh_dwywei_conv6|我理解你跟苏格兰人的过节，但是唐察德已经证明了自己是一个值得信赖的人。
dlga_donnachdh_dwywei_conv4:donnachdh_dwywei_conv7|这就是苏格兰人？那么我也憎恨他们。肮脏的叛徒！
dlga_donnachdh_dwywei_conv5:close_window|如你所愿。
dlga_donnachdh_dwywei_conv6:close_window|我也可以理解，曾经发生的一切不能归咎于唐察德。我会试着对他更好一些。
dlga_donnachdh_dwywei_conv7:close_window|看在你的面上，我希望你只是在开玩笑，但我不觉得有什么好笑的。
dlga_conversation_companioncamp:morgant_conversationcamp1|{reg59?我的女士:先生} ，在康比亚，有胆子的人屈指可数。过去，我们是自豪的民族，我们的势力囊括了不列颠南部。而后撒克逊人来了，我们失去了土地。
dlga_morgant_conversationcamp1:morgant_conversationcamp2|现在大海带来了丹麦人，正如它之前带来了盎格鲁撒克逊人。如今，撒克逊人害怕丹麦人夺取他们昔日从我们这里夺来的土地。命运是不是很讽刺？
dlga_morgant_conversationcamp2:morgant_conversationcamp3|是的，但别拿撒克逊人来烦我。他们终将失去窃来之物。
dlga_morgant_conversationcamp2:morgant_conversationcamp3_2|撒克逊人很强悍，他们会抵抗丹麦人的。
dlga_morgant_conversationcamp2:close_window|我对这没什么兴趣。
dlga_morgant_conversationcamp3:morgant_conversationcamp4|这不可能。也许主开了个玩笑，或是我们的祈祷带来了丹麦人来惩罚撒克逊人。但谁在乎？布立吞人已经失去了不列颠。
dlga_morgant_conversationcamp3_2:morgant_conversationcamp4|你的意思是我们很孱弱？我可不这么想！的确，我们彼此不合，也无明主，但亚瑟展示了击败撒克逊人并非不可能。我们只能遗憾无人能继承他的传奇。如今我们已失去了不列颠。
dlga_morgant_conversationcamp4:morgant_conversationcamp5|不列颠会重归布立吞人所有的，我发誓我会做到的。
dlga_morgant_conversationcamp4:morgant_conversationcamp5_1|忘记过往专注当下吧。
dlga_morgant_conversationcamp5:close_window|我欣赏你的志气，但我们都知道，即使你能征服整个岛，如今的不列颠也与昔日的它无共同之处了。再也回不去了。
dlga_morgant_conversationcamp5_1:close_window|是的，你说得对。哀叹往事于事无补，让我们回到当下吧。
dlga_conversation_companioncamp:dwywei_conversationcamp1|{playername} ，我的父母在皮克特是重要人物，他们的祖父母，以及我所有的先祖也都是。他们都是我的母系亲属— — 对皮克特人来讲最重要的亲属— — 有着皇室血统。
dlga_dwywei_conversationcamp1:dwywei_conversationcamp2|但名为奥尔本的王国已发生了很多变故。我们的子民已与昔日的敌人，戈伊德尔人混杂，令我的家族蒙羞。我试图重铸我们作为武士的威名，但因皮克特人皈依了基督，妇女们与此信仰渐行渐远。最终，我失败了，而我的家人为我的失败赔上了性命。
dlga_dwywei_conversationcamp2:dwywei_conversationcamp3|我一般不说这个，但我得说我在和你一起旅行时找到了新的家。这减轻了我旧日的伤痛。多年来我一直痛恨现任的奥尔本国王，但现在我不在乎了。我的失败与我们国土上的新律法导致了我的家庭的终结。我只能祈祷你不要因我的过往而苛责我。
dlga_dwywei_conversationcamp3:dwywei_conversationcamp4|过去的就过去了。你对我很重要。
dlga_dwywei_conversationcamp3:dwywei_conversationcamp4_2|谢谢你和我分享自己的故事。我很高兴你现在重拾内心的平静了。
dlga_dwywei_conversationcamp3:close_window|你导致了你家人的死亡，还不想被苛责？！别扯了！
dlga_dwywei_conversationcamp4:close_window|— — 她看上去情绪低落怯懦— — ^^你对我也十分重要。噢，对了，我还有事要做。
dlga_dwywei_conversationcamp4_2:close_window|谢谢你的理解。
dlga_conversation_companioncamp:dwyweiromance_conversationcamp1|{playername} ，尽管你见我在战场上作战勇猛，身被战争图腾，吼叫着刺死敌人… 
dlga_dwyweiromance_conversationcamp1:dwyweiromance_conversationcamp3|你知道我是个内向的人，是吗？
dlga_dwyweiromance_conversationcamp3:dwyweiromance_conversationcamp4|我不知道。
dlga_dwyweiromance_conversationcamp3:dwyweiromance_conversationcamp4_2|是的，我知道。
dlga_dwyweiromance_conversationcamp3:close_window|我现在没时间说这个。我们回头再说。
dlga_dwyweiromance_conversationcamp4:close_window|哦，我知道了，嗯，嗯，我… 我们改天再说… 
dlga_dwyweiromance_conversationcamp4_2:close_window|我的意思是我可以说些东西，但我希望你明白我十分仰慕，欣赏你。呃，我不想再多说了。实在是说不清。我们改日再说。
dlga_conversation_companioncamp:dwyweiromance2_conversationcamp1|我希望同你谈谈，{playername} 。尽管对我来说这是很严肃的事，我只会提一次。
dlga_dwyweiromance2_conversationcamp1:dwyweiromance2_conversationcamp3|你知道的，我对你有意思，欣赏爱慕你。我认为你望向我时也有同感，但我不确定。可能是… ？
dlga_dwyweiromance2_conversationcamp3:dwyweiromance2_conversationcamp4|是的，杜威，我很喜欢你。
dlga_dwyweiromance2_conversationcamp3:dwyweiromance2_conversationcamp4_2|抱歉，我对你没兴趣。
