qstr_{reg1}_lords_will_los|{reg1}位领主将失去你的踪迹。他们必须在下一座港口登岸，再前来寻你。
qstr_The_scout_returns_an|侦察兵回报：“敌军在村庄后方出现。村民已逃离田野，躲进屋内避难。他们深知战争的恐怖。”^^“我们也一样……我们也一样……”你喃喃自语。
qstr_Camera_follow_terrai|摄影机跟随地形模式开启。
qstr_Camera_follow_terrain|摄影机跟随地形模式关闭。
qstr_Camera_rotate_before|摄影机先旋转再平移开启。
qstr_Camera_rotate_before_|摄影机先旋转再平移关闭。
qstr_{s0}^^A_Battle_Comma|{s0}^^作战指挥通常可按{s1}键呼出。
qstr_Strategy_Camera|战略视角
qstr_Tactical_Controls|战术控制
qstr_Death_Camera|死亡视角
qstr_Division_Placement|队列部署
qstr_Complex_Formations|复杂阵型
qstr_Formations_turned_OF|已在选项菜单关闭阵型
qstr_Division_{reg1}_{s2}_g|分队{reg1}的{s2}前往记忆位置……
qstr_Division_{reg1}_{s2}_f|分队{reg1}的{s2}列成横队（记忆）。
qstr_Division_{reg1}_{s2}_fo|分队{reg1}的{s2}列成{reg0}排横队（记忆）。
qstr_{s1}_is_shouting_out|{s1}正高声喊出他的战吼！
qstr_{s1}_is_starting_a_s|{s1}开始举盾挑衅！
qstr_Spawned_{s13}|已生成{s13}
qstr_You_must_stay_behind|你必须待在地面标线后方！此点无效。
qstr_All_around_you_unfol|你周围展开的是神的世界：祈祷与劳作。人们身着修道袍，忙于工作，只在进食、睡眠或祈祷时稍作停歇。
qstr_This_is_the_home_of_|这里是北欧诸神的居所。你可吟诵古谣、谱写颂歌或献上祭品以取悦诸神。若得垂怜，诸神或将聆听并实现你的愿望。
qstr_{s0}^^{s1}|{s0}^^{s1}
qstr_The_old_captain_is_t|你不是老队长的对手。你倒在血泊里，视线慢慢暗了下去……
qstr_The_old_captain_is_to|你不是老队长的对手。你遍体鳞伤地躺在他脚边，只因他一时怜悯才保住性命。
qstr_You_have_beaten_the_|你击败了老队长，传奇之路由此开启。
qstr_Today_is_a_good_day_|“今日慷慨赴死，岂不痛快？”
qstr_The_battle_against_t|与山贼一战艰苦卓绝，但你终获胜利。翻检他们在岩间掘出的洞穴，你发了一笔横财。
qstr_You_have_killed_all_|你杀光维京人，解放了所有奴隶，名声与威望随之而来。
qstr_You_look_up_and_see_|你抬头望去，村庄已被维京人洗劫，如今他们盯上了你。
qstr_After_a_hard_battle_|苦战之后，你击溃了埋伏的维京人。他们的财宝尽归你手，尤其那几件锁子甲更让你欣喜。
qstr_If_you_want_to_cross|“想过桥？先付买路钱给巨人！”
qstr_The_troll_is_dead_at|巨人倒在你脚下，你可以拿走他从旅人那里勒索的财宝，还有他的大棒。
qstr_Come_closer_closer_c|“靠近些，再近些，我在这儿，就在近旁。孤单已久，来赢取你的奖赏吧！”
qstr_The_voice_continues_|那声音继续道：“啊，不可失礼。终于有人来看我，有人真心想玩游戏、拿奖品。”
qstr_The_voice_seems_to_b|声音愈发逼近：“你是谁？为何而来？你来看我这个为避世人惧与辱而隐居的人吗？”
qstr_A_voice_is_coming_fr|废墟某处传来声音：“竟有人敢踏足这古老废墟？你胆子不小，别人都怕鬼不敢来。”
qstr_Do_you_want_to_stop_|你想停工并放弃工钱吗？
qstr_Your_own_life_seems_|看到这些可怜人为一口活命面包而拼命劳作，你忽然觉得自己的生活还不算太糟。
qstr_The_rattle_of_spikes|铁钎击石的铿锵震耳欲聋。下方，人们正被工头驱使着辛勤劳作。
qstr_Bodo_has_received_to|博多连遭重击，已无力再战。
qstr_Bodo_spots_you_shake|博多望见你，摇了摇头，无声示意敌人仍在附近。
qstr_Bandits_strike_at_yo|山贼猛扑向你，你倒在血泊里。他们以为你已气绝……
qstr_The_bandits_and_slav|山贼与奴隶贩子已被肃清。带走俘虏，速离此地。^^想离开时按TAB键。
qstr_You_can_t_leave_the_|仍有敌人潜伏，你无法离开洞穴！
qstr_You_have_just_killed|你刚斩杀了强盗王的贴身护卫。翻检他们的遗物，你找到几件珍宝。但须先剿灭余匪，才能领取赏金。
qstr_You_have_killed_the_c|你杀死了队长——那丑陋的巨汉，蜷曲如鼠，臭不可闻。搜刮残骸，你得到几样有用之物。但须先剿灭余匪，才能领取赏金。
qstr_Rising_victorious_ov|你踏过强盗王的尸身，染血的兵刃宣告恐怖统治的终结。昔日不可一世的强盗王留下的遗物有：
qstr_The_body_of_Atli_Eir|阿提利·埃里克松——西格德·拉格纳逊昔日的副手——倒在你脚边。你翻遍他的衣襟，找到一封血迹斑斑、封印已碎的羊皮信。这正是托付给博多的那封信。你得找他问个明白。
qstr_The_Danish_and_Atli_|丹麦人与阿提利已解决。去和博多谈谈那封信。
qstr_As_you_advance_you_f|你继续前行，发现深处透出光亮——这地方并非如你所想那般荒凉。
qstr_You_feel_the_tension|每一步都让你绷紧神经。
qstr_The_mouth_of_a_rock_|巨石在你面前裂开，四周尽是冰冷岩壁，刻着你不识的符文。这里藏着怎样的惊喜与宝藏？
qstr_You_are_overwhelmed_|你被时间的浩瀚震慑——建造者早已化为尘埃，人生短暂如露……谁能永生？
qstr_On_the_right_you_see|右侧墙上潦草地刻着：“Livia pulchra est, Marcus dixit.”
qstr_It_s_cold_and_smells|寒意与古旧气息扑面而来，将你带回罗马统治世界的年代，那时人们懂得用巨石筑起数层高楼。^^浴池、康乐室、更衣室……皆覆满尘土与荆棘，尽归荒废。
qstr_Refugees_and_deserte|难民与乱军把这里当家，他们受最后一位德鲁伊的庇护，以鲜血祭祀换取苟活。
qstr_Not_far_away_on_top_|不远处山巅，几座古老石环矗立。你仿佛感到残留的魔法，古凯尔特的信仰仍在挣扎求生。
qstr_The_magnificence_of_|此地的宏伟依旧震撼你：人类何时才能再造如此壁垒？
qstr_Time_and_neglect_has|岁月与荒废摧毁了昔日辉煌。罗马时代，这道城墙曾守护南方诸镇免遭喀里多尼亚人蹂躏。它早已崩塌，但瓦砾间仍有生命痕迹。
qstr_Your_mission_is_to_a|你的任务是在敌人取水时伏击。若迷失方向，按K键回顾目标。
qstr_Someone_wants_to_tal|有人想与你交谈。去营地找{s4}。
qstr_Camp_Conversation|营地对话
qstr_Everybody_back_on_th|所有人回到船上！赶快！
qstr_Sea_Info_Tutorial|海战教程
qstr_A_huskarl_shouts__Me|一名亲卫军喊道：“士兵们！听着！守住防线，我们就能胜利！来的不过是维京人，我们是丹麦的勇士！”
qstr_A_huskarl_shouts__Th|一名亲卫军喊道：“索尔！聆听我们的战吼，为瓦尔基里做好准备！今夜我们将在你的殿堂痛饮！”
qstr_Harald_calls_out__Co|哈拉尔大喊：“来吧！快点！我们可没一整天。先看好奴隶，然后来见我！”
qstr_The_stranger_shouts_|陌生人喊道：“你好！我叫奥维尔，人称‘白发’。你就是找我兄弟斯温——外号‘牛颈’——的人？我不在乎。我只代表西格德·拉格纳逊而来，用你们的母亲交换那个叫博多的人。”
qstr_The_stranger_shouts__|陌生人喊道：“你好！我叫奥维尔，人称‘白发’。你就是找我兄弟斯温——外号‘牛颈’——的人？我不在乎。我只代表西格德·拉格纳逊而来，把你的母亲交还给你。”
qstr_Egil_yells__Heill_Ol|埃吉尔喊道：“你好，‘白发’奥维尔！我听说过你，也听说过你和洛基的协议。先让我的朋友去见{reg59?她:他}的母亲，再谈别的。”
qstr_Olvir_shouts:__Sure_|奥维尔喊道：“当然，埃吉尔，国王的私生子，我也听说过你。看来你成了{playername}——肯尼莫的叛徒——的传声筒。{reg59?她:他}可以跟我们的俘虏说话，我会把她带来。”
qstr_Mission:_Speak_to_yo|任务：与你的母亲交谈。
qstr_Suddenly_Olvir_shout|奥维尔突然大喊：“士兵们！盾墙！立刻！以拉格纳之名！以西格德之名！以奥丁之名！让敌人去死！”
qstr_The_old_hero_is_too_|老英雄远胜于你。你倒在血泊中，视线渐渐模糊……
qstr_The_old_hero_is_too_m|老英雄远胜于你。你遍体鳞伤地倒在他脚边，只因他的怜悯才保住性命。
qstr_You_have_beaten_the_o|你击败了老英雄，传奇之路由此开启。
qstr_Beda_cries_out__Oh_m|贝达哭喊：“我的天啊！我的天啊！我听见动静！他们追来了！斯温的人追来了！上帝救救我们！”
qstr_Something_is_moving_|灌木丛里有什么东西在动……
qstr_Reginhard_shouts__Al|雷因哈德吼道：“我只想有一块地、一个妻子、几个孩子。我不想你死，可我也不想死。抱歉，{playername}，我必须杀了你。”
qstr_Egil_shouts__You_ll_|埃吉尔吼道：“你会为保卫那个该死的叛徒雷因哈德而死。你选了这条绝路，等你死后，我会接管你的人马，带他们走向你永远给不了的荣耀！”
qstr_Sigurd_shouts__I_hav|西格德吼道：“我已备好八百多人，随时渡海去英格兰支援我的兄弟，可我在这里听到的全是阻挠他们登船的借口！”
qstr_King_Horik_yells__Si|霍里克国王喊道：“西格德，我们不会阻止这些人登船。事实上，他们还没走，我们很不高兴。”
qstr_Sven_Bull_Neck_shout|“牛颈”斯温吼道：“这些人只有拥有一位真正的领袖才会登船。古斯鲁姆本不该是他们的领袖。他们的领袖本该是我兄弟‘白发’奥维尔，可他被杀了。是时候把这事拿到集结地议一议了。”
qstr_Mission:_The_Thing_h|任务：议事会已开始。去见霍里克国王。
qstr_Harald_s_orders_arri|哈拉尔的命令随风传来：“我们守不住了。他们人太多。所有人逃！到约维克会合。逃！”
qstr_Try_to_flee!_|快逃！
qstr_A_stranger_shouts__Q|一个陌生人喊道：“快！回营地。你有危险！”
qstr_An_attacker_yells__W|袭击者吼道：“你是谁，女人？无所谓，你来晚了！{playername}，肯尼莫的雅尔要你的脑袋。你离开营地真是蠢到家了。现在你得死！替我向地狱问好！”
qstr_Not_far_in_the_dista|不远处就是诺丁汉的城墙。离开森林，朝那里走。
qstr_You_run_into_the_for|你冲进森林，成功逃脱。
qstr_Your_mission_is_to_f|你的任务是沿森林另一侧通往诺丁汉的道路前进，避开麦西亚巡逻队。^^若迷路，按K键回顾目标。
qstr_On_a_hill_taking_adv|丹麦人利用山势设营。你看见许多帐篷，足以容纳两百多人。
qstr_Aescendun_is_the_pla|阿先顿是撒克逊人选定的集结点，它截断了丹麦人进入韦塞克斯的通路。
qstr_Readingum_previously|雷丁姆，曾是撒克逊村庄，现归丹麦人所有。他们加固了此地，使其成为避难所。
qstr_Aelfred_shouts__Men_|阿尔弗雷德高喊：“韦塞克斯与肯特的战士们，这片土地是我们父辈与祖辈的土地，是我们的家人生活、我们赖以生存的地方。这是我们的土地，由一位国王、一位上帝统治。”
qstr_Aelfred_shouts__Dane|阿尔弗雷德高喊：“丹麦人带来暴力、恐惧和他们的多神教神祇。他们来劫掠这片土地——你们的土地——若我们退让，他们会毫不犹豫地杀害我们的家人。”
qstr_Aelfred_shouts__You_|阿尔弗雷德高喊：“你们是阻挡他们的唯一屏障。你们是守护韦塞克斯的城墙。若你们倒下，韦塞克斯便亡。韦塞克斯与肯特的战士们，上帝与我们同在！他庇佑我们！我们能让上帝失望吗？能让家人失望吗？”
qstr_Ut_Ut_Ut!_Ut_Ut_Ut!_|Ut Ut Ut！Ut Ut Ut！Ut Ut Ut！Ut Ut Ut！Ut Ut Ut！Ut Ut Ut！
qstr_Aelfred_shouts__Ut_U|阿尔弗雷德高喊：“Ut Ut Ut！”
qstr_Halfdan_shouts__Brot|哈夫丹高喊：“兄弟们！勇士们！奥丁注视你们，索尔与我们同在，洛基已去迷惑敌人！撒克逊人害怕了。他们知道我们会追击、击败并大量杀戮他们，正如我们在雷丁姆所做！”
qstr_Halfdan_shouts__You_|哈夫丹高喊：“你们认识我，我也认识你们。我们并肩作战，并将继续如此。今日我们向阿什顿进发，攻打撒克逊人。若你们一如既往奋战，若时机已到，撒克逊人将被击溃，韦塞克斯将归我们所有。”
qstr_Hint:_Drop_something|提示：把东西丢在船上！
qstr_The_Snake_lies_dead_|蛇的尸体躺在你的脚边，他的货物是你的了。^你完成了你的使命。是时候去找菲尼安的修道院院长领取奖励了。
qstr_The_song_the_cries_o|歌声，野兽的叫声，雾，混乱和焦虑……你的士兵被杀死的时候都不知道是谁干的。过了一会，你想起了卡利卡斯说的话，并且你开始害怕未知。
qstr_Horns_sound_in_the_d|号角的声音在远处传来，雾似乎开始消散了。有人前来援助你。莫莉甘和她的野兽停止了攻击。
qstr_Breaking_before_your|在你凶猛的攻势下，敌人退入洞穴。他们人数不多，却顽强抵抗，没有留下任何伤亡。
qstr_Explore_the_area_and|探索这片区域，与莫莉甘会面。
qstr_Fire_consumes_the_ha|火焰吞噬大厅，每一次呼吸都把浓烟吸进体内。你必须找到出口，否则很快就会死去。快点！在燃烧的墙壁上寻找薄弱点！
qstr_You_take_5_damage_fr|你因烟雾受到5点伤害。
qstr_You_find_a_small_hol|你在墙上发现一个小洞，用手和武器把它扩大，逃离这片火狱。
qstr_Chaos_and_war!_The_f|混乱与战争！宴会瞬间变成屠宰场，梅尔·布雷塞尔的手下弗格斯率领战士屠杀你的人。你仍未脱险；死亡就在身边徘徊。若能侥幸生还，梅尔·布雷塞尔必须为此付出代价！
qstr_Mael_Bresail_has_bet|梅尔·布雷塞尔背叛了你，或许因为他害怕你是唯一目睹他密谋刺杀弗莱厄伯特赫残存家族的人。弗格斯先纵火焚烧蜜酒厅，又在你逃出火海时试图杀你。许多部下在混战中丧生。梅尔·布雷塞尔必须血债血偿。也许现在正是向菲尼安的修道院院长打听他主人下落的好时机……
qstr_{s2}|{s2}
qstr_Mael_Bresail_has_fal|梅尔·布雷塞尔倒在你的钢铁之下，复仇得以完成。你的部下洗劫农场，为你抬来一箱黄金。
qstr_Ambush!_There_were_m|伏击！屋里藏有伏兵！
qstr_You_can_give_the_com|你可以下令船只缓进、快进、后退或停船。上下箭头键在这些命令间切换。^你也可以下令直航、右舵、右满舵、左舵或左满舵。左右箭头键在这些命令间切换。^当前命令以箭头形式显示在右上角的船只图标周围。^按回车键扬帆，按退格键查看全景。
qstr_Ship_Control|船只控制
