ip_armies_size|部队规模
ip_sea_travel_text|世界地图上的渡轮可在两站间运送队伍，队伍越小越便宜。^^长距离海路需港口对港口，可在城镇菜单或与造船师对话启程，费用随队伍规模增加。^^自有船只后，在城镇菜单点“从港口起航”，回到地图，以船代步，操作与陆行相似。^^回岸两法：点击港口或登陆点。寻登陆点需贴岸航行，或右键队伍选“寻找最近登陆点”。登陆后船留原地。^^若队伍超船容量，可就地与目标地各建军营，分批转运。^^海上可随时查天气：点“营地”后左侧显示；天气变化时左下角提示。^^顺风增速，亦增船损风险。船况恶化会减速，至“危险”时或毁船。在“营地”→“舰队”中查看船况。^^天气亦影响海战，可事先在“营地”→“查看位置”确认。^^航海危险，会降低士气，夜航尤甚。规划路线，尽量夜泊。士气过低或生哗变。^^水手与部分诺斯兵为老练海员，可增速，效果见营地菜单左侧。^^多船同行，速度由最慢者决定。可贴岸后“营地”→“舰队”→“在海岸留船”拆分。欲合船，需齐聚港口。总览船只位置：点“角色”→“船只”。
ip_sea_battle|海战
ip_sea_battle_text|出海后，你将参与海战。^^先学控船：可令划桨前进、快划、后退、停船，上下箭头切换。亦可令直行、右舵、右满舵、左舵、左满舵，左右箭头切换。^^当前指令以箭头显示在右上角船标周围。回车键扬帆，退格键得战术视角。试练以熟风向与操船。^^靠近敌舰即接舷，船靠船，战斗开始。^若胜，或可俘获敌旗舰。^^多船海战时，可对第九分队下达“坚守”或“冲锋”。部队列表首队随你登旗舰，余部分配他船。可在港口或海上扎营时换旗舰。^^拥有足够舰队，可从海上攻城镇：点击敌港，抵近即现攻击选项，无需先登陆。
ip_ship_info|船只
ip_ship_info_text|迟早你都会想要投资一艘船。原因有好几个：长远来看，这是最便宜的海上旅行方式；它让你在海上行动完全自由；还能开启新的贸易与劫掠机会。^^另一方面，也有缺点。首先，船很贵，你得攒下一笔钱才买得起；其次，船只能搭载有限数量的部队。^^另一个重要因素是速度。船越快，你就越能成功追上或甩掉其他船。速度取决于船的类型与状态。^^最后，造船用的木材影响耐久度。橡木船非常结实，榉木船却得经常修理。^^当你觉得准备好买船时，在港口城镇的城镇菜单里点“查看船只”，或去找造船师。港口最多同时出售三艘船，有时一艘也没有。船型与数量会随时间变化。所有港口都卖船，但最好的船只在诺斯与弗里斯兰港口。想查看你的船，可在城镇菜单点“查看船只”，或走到它的码头。^^在港口，你可以定制船帆，也能给任何橡木船刷漆。有一种特殊帆只留给玩家船只，可用专用图形编辑器修改（维京征服本体不含）。更多信息见本DLC文件中的“Your Custom Sails”文件夹。^^一旦拥有船只，造船师会以不同方式与你互动，并乐于提供建议。他们也接受定制船只订单。更好的船需要特殊材料，你得自备；建造时间也更长，且需诺斯港口里技艺更高的造船师。你亲自建造的前七艘船可在船只定制菜单中自由命名。
ip_wounds|重伤
ip_wounds_text|战斗中，玩家可能遭受具体而削弱能力的重伤。大城镇的医师会收费治疗，数日后痊愈，所有负面效果随之移除。若久不治疗，伤口将变成疤痕，负面效果永久存在。
ip_traits|特性
ip_traits_text|达到13级后，根据你的技能选择可获得以下特性之一：^^狂战士：进入狂暴可在激战瞬间提升速度与力量，狂暴时视野变红。^^激励：此习得技能在战斗中提升你的统御，战吼增强部下斗志。^^坚韧：此技能让部队移动更快，战斗中更敏捷。^^强壮：你专注维护部下的盾与甲，使敌人更难伤他们。^^在战场上按T键激活这些特性。
ip_recruitment|征募系统
ip_recruitment_text|维京征服的征募并非自动，而取决于多重因素。^^首先，要在村庄、城堡或城镇征募，需获得其领主许可。为此，你需拥有足够声望（150+）并与领主及其阵营关系良好。^^对村庄，也可向村长申请。此途径可用高声望（150+）与高关系（15+），或直接贿赂。贿赂可能失败，需多次尝试。^^获得许可后，只要与聚落关系保持正面，即可自由征募。村庄可征募一级兵；关系够高（60+）可征募二级兵；若你是该村领主，只需关系20+即可。^^城堡与城镇可征募二级兵；若关系够高（30+），有30%概率获得三级兵。可征募的最大数量取决于你与聚落的关系、统御、魅力、你的宗教、聚落主流宗教，以及你是否为该地领主。^^另有其他途径。若你是基督徒，可在修道院找到绝望的难民；农场也总有机会遇到找活干的人。
ip_wages|工资
ip_wages_text|维京征服中部队工资主要受玩家统御影响。对高级兵种，玩家的说服技能可能成为加成或减益，视其高低而定。对法外之徒，如强盗与维京人，玩家声望起作用：若声望低于“恶名昭著”，则工资打折。
ip_skills|技能和属性
ip_skills_text|在维京征服中创建或培养角色时，需关注众多技能与属性。说服、统御等技能对交易、工资、与领主及女士互动、强制改宗至关重要。智力、魅力等属性在上述活动中同样关键，还会影响婚姻与领导能力。^^海上三项重要技能为“海王”“航海”“掠夺”。^^海王等级决定可指挥的船只数量：一级最多两艘，四级上限七艘。^^航海技能让你在海上航行更快，相当于陆上的寻路技能（该技能在海上无效）。^^掠夺技能越高，俘获敌船几率越大。
ip_tactical_controls|战术控制
ip_tactical_controls_text|用数字键选择分队，按0选中全军。^^用F1-F4向选中分队下令。按住F1可放置选中分队，可借此锁定敌方分队。^^按回车键常可启动俯瞰战略视角。^^按退格键常可开启带“雷达”的战斗命令界面。^^按H键可唤马（需骑术4级或更高）。^^按Z键蹲下。^^按住防御键再按动作键可发动盾击。^^习得特性后，按T键激活。^^多人模式下，按住Q再按防御键可嘲讽对手。
ip_division_placement|队列部署
ip_division_placement_text|选中单一分队时，其前列中心置于指示点。^^选中多支分队时，它们将以指示点为中心分散，如同玩家站在该点。^^按F2、F7可记忆选中分队相对玩家的部署：默认步兵左、骑兵右、远程前。若玩家在阵型选项菜单中亲自率领某分队，则该分队部署被覆盖。^^若营地菜单游戏选项已设，分队将自动转向迎敌；否则保持放置时的朝向。
ip_formations|阵型
ip_formations_text|战斗菜单中的复杂阵形如下：^^- 纵阵：精锐居前^^- 盾墙：持盾者在前，长兵在后^^- 楔形阵：精锐居前^^- 方阵：无特定排序^^- 无阵形^^即使选最后一项，玩家也可通过多次“靠拢”命令排成最多四线。^^
ip_dog_companion|犬类同伴
ip_dog_companion_text|当你神游四方时，忽闻犬吠，幸好你随身带着一根香肠。一段友谊由此开始。这条狗寸步不离，即便在战场上，也很快获得名字。^战场上，你的狗被编在第九分队。用美食喂养可提升它的技能与能力。
ip_rents|地租
ip_rents_text|你拥有的每个聚落都会产生地租。长期来看，地租按周平均计算，但具体支付频率并不固定。有些周你能收到款项，有些周则分文无收。若到付款日仍未处理，预算条目会显示“地租未付”。若村庄遭劫掠，或堡垒、城镇被洗劫，预算条目会显示“无可用地租”。待村庄/堡垒/城镇恢复正常后，地租支付会重新开始。地租受聚落繁荣度、特殊建筑、宗教构成、税率及难度设置影响。特殊建筑即便在聚落被洗劫时仍会继续产生地租。
ip_quarters|岗哨
ip_quarters_text|岗哨允许你把部分部队留在地图上的特定地点。你最多可设两处岗哨。^^以下情境中，岗哨尤其实用：^- 需乘船出行，却付不起全部兵员的船费^- 舰队运力不足，无法一次性运送全部部队^- 想潜入某座城镇^- 想在世界地图上加快行军速度
